Date,adxr
2010-01-04,
2010-01-05,4.869153011623376
2010-01-06,4.869153011623376
2010-01-07,4.6924247989265435
2010-01-08,4.5579852740239994
2010-01-11,3.9525621470620367
2010-01-12,3.1343651465266844
2010-01-13,2.3815911765368405
2010-01-14,1.9509045424841358
2010-01-15,1.7085014880389033
2010-01-18,1.5976952135731493
2010-01-19,1.3390750027973695
2010-01-20,1.1349252639769538
2010-01-21,1.0541719651976011
2010-01-22,1.1402927053744587
2010-01-25,1.3028828015472862
2010-01-26,1.5460616789790451
2010-01-27,1.534360820272793
2010-01-28,1.4162977253100115
2010-01-29,1.2620139093781746
2010-02-01,1.192965995029588
2010-02-02,1.0646075812092706
2010-02-03,0.752465327610679
2010-02-04,0.5315969266744995
2010-02-05,0.37530680111548864
2010-02-08,0.2647129990250286
2010-02-09,0.09404945007657052
2010-02-10,-0.1284108630583094
2010-02-11,-0.3629970412054919
2010-02-12,-0.6047232025727993
2010-02-15,-0.8303562850777656
2010-02-16,-1.0224364274734987
2010-02-17,-1.101070347356565
2010-02-18,-1.0400585513279008
2010-02-19,-0.8779466058243508
2010-02-22,-0.580342894576932
2010-02-23,-0.34836549053932503
2010-02-24,-0.19803323643102527
2010-02-25,-0.22502260980205493
2010-02-26,-0.3402784829039389
2010-03-01,-0.3445731020849482
2010-03-02,-0.22716741359278758
2010-03-03,-0.057254015342644
2010-03-04,0.13477850710727415
2010-03-05,0.33105371577942816
2010-03-08,0.5589207798217809
2010-03-09,0.65430982304324
2010-03-10,0.7390738838721029
2010-03-11,0.8407813557735949
2010-03-12,0.9616893311540724
2010-03-15,1.0853237327715972
2010-03-16,1.1947671124915535
2010-03-17,1.2880360211982247
2010-03-18,1.0791785927918942
2010-03-19,0.8308348778161518
2010-03-22,0.6553441949658005
2010-03-23,0.41904641812543375
2010-03-24,0.10763688575466107
2010-03-25,-0.16931373460495944
2010-03-26,-0.27601064324565033
2010-03-28,-0.28713346187892197
2010-03-29,-0.3963031167255861
2010-03-30,-0.5088133127209818
2010-03-31,-0.5588026572312799
2010-04-01,-0.5064103925519423
2010-04-04,-0.40605953259504884
2010-04-05,-0.28943190853475237
2010-04-06,-0.2978676169527138
2010-04-07,-0.43080599135544206
2010-04-08,-0.6164140219043612
2010-04-11,-0.7146799382596153
2010-04-12,-0.6889140115166879
2010-04-13,-0.5724334177343006
2010-04-14,-0.39199773660323844
2010-04-15,-0.3312037680777163
2010-04-18,-0.39613052667831994
2010-04-19,-0.4723098943878761
2010-04-20,-0.5234176545698445
2010-04-21,-0.6315901477709045
2010-04-22,-0.760046893067022
2010-04-25,-0.8851625024325833
2010-04-26,-0.9749810535452464
2010-04-27,-1.0040971696227459
2010-04-28,-1.0248093950178643
2010-04-29,-0.8986699766577388
2010-05-02,-0.7759174298548577
2010-05-03,-0.8013746220345024
2010-05-04,-0.7429336441221861
2010-05-05,-0.5040885405911872
2010-05-06,-0.15079764518589428
2010-05-09,0.057475956176543275
2010-05-10,0.005065807618216611
2010-05-11,-0.17606787469082782
2010-05-12,-0.3622124964432813
2010-05-13,-0.5126131955743563
2010-05-16,-0.6213798031104262
2010-05-17,-0.7000256204420189
2010-05-18,-0.6419132456335027
2010-05-19,-0.44096961826101516
2010-05-20,-0.17390416464248198
2010-05-23,-0.060295076358622746
2010-05-24,0.06790462424057116
2010-05-25,0.08510234772982822
2010-05-26,0.0632411205726175
2010-05-27,-0.09486524976932795
2010-05-30,-0.22749645811351193
2010-05-31,-0.4037871650241813
2010-06-01,-0.5488041681166086
2010-06-02,-0.5888656428044726
2010-06-03,-0.6684150306022312
2010-06-06,-0.8006301383822583
2010-06-07,-0.9400801022671664
2010-06-08,-1.0578489726562779
2010-06-09,-1.1431876534751924
2010-06-10,-1.0714592779998315
2010-06-13,-0.9254500269029311
2010-06-14,-0.7678144722776062
2010-06-15,-0.5472196303089528
2010-06-16,-0.3125104451625726
2010-06-17,-0.07725061311493985
2010-06-20,0.16581981234082685
2010-06-21,0.3786660858455074
2010-06-22,0.31987323536457574
2010-06-23,0.13150188792551254
2010-06-24,-0.07908093808435004
2010-06-27,-0.25559492555456303
2010-06-28,-0.4359101748670971
2010-06-29,-0.5963387435837805
2010-06-30,-0.7335248369991778
2010-07-01,-0.7026648633878855
2010-07-04,-0.5318765689340388
2010-07-05,-0.30606888858838677
2010-07-06,-0.13199238941686153
2010-07-07,0.05154650995615897
2010-07-08,0.23214055868085573
2010-07-11,0.41554589797256825
2010-07-12,0.5854137047542506
2010-07-13,0.7717777352916118
2010-07-14,0.8370175088866207
2010-07-15,0.7289287659421755
2010-07-18,0.5183773999104042
2010-07-19,0.21725470655227083
2010-07-20,-0.0024809829599425418
2010-07-21,-0.1940026082083436
2010-07-22,-0.22036767421624837
2010-07-25,-0.22824501862342061
2010-07-26,-0.22604680348677653
2010-07-27,-0.23017481918128085
2010-07-28,-0.24284858245313515
2010-07-29,-0.16921928964838473
2010-08-01,-0.03197490009544884
2010-08-02,0.028290619091410105
2010-08-03,0.044361570198690296
2010-08-04,0.09448977977238392
2010-08-05,0.10683399383923094
2010-08-08,0.09889296823386243
2010-08-09,0.17535993090610064
2010-08-10,0.11402436982749438
2010-08-11,-0.10081340771988052
2010-08-12,-0.3058028695000375
2010-08-15,-0.48903384676384587
2010-08-16,-0.47213632599941485
2010-08-17,-0.3466072866567813
2010-08-18,-0.3349284714913957
2010-08-19,-0.39768961075809606
2010-08-22,-0.49330696030510995
2010-08-23,-0.5342569570055704
2010-08-24,-0.5439725902781598
2010-08-25,-0.6600321614866239
