Date,cr-ma2
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,-0.8131676890953348
2010-01-13,-0.8490979015025097
2010-01-14,-0.8016787600506474
2010-01-15,-0.7477033702077298
2010-01-18,-0.7836817406489175
2010-01-19,-0.7813322906403417
2010-01-20,-0.7715413851099416
2010-01-21,-0.7401657338214963
2010-01-22,-0.7219578034283433
2010-01-25,-0.7038128570584575
2010-01-26,-0.6811703618788131
2010-01-27,-0.6456608383912706
2010-01-28,-0.6211252009275349
2010-01-29,-0.5972031667391885
2010-02-01,-0.543384354158191
2010-02-02,-0.4816318137308454
2010-02-03,-0.42880604237449865
2010-02-04,-0.39123563569049746
2010-02-05,-0.34936349877786294
2010-02-08,-0.30954499604543034
2010-02-09,-0.2805994704472592
2010-02-10,-0.26525141081561193
2010-02-11,-0.24654310127199403
2010-02-12,-0.2383627603316802
2010-02-15,-0.228300846107802
2010-02-16,-0.24911580841893188
2010-02-17,-0.27125155927400096
2010-02-18,-0.2967882864987547
2010-02-19,-0.3203045126616812
2010-02-22,-0.3492627483363088
2010-02-23,-0.35813229141982117
2010-02-24,-0.3644032407042135
2010-02-25,-0.3889472591312322
2010-02-26,-0.42286549320847644
2010-03-01,-0.46024663538132643
2010-03-02,-0.4891570033032313
2010-03-03,-0.5109646305608052
2010-03-04,-0.5343757268623337
2010-03-05,-0.5659329855284672
2010-03-08,-0.6063174224939772
2010-03-09,-0.655764462259272
2010-03-10,-0.7056555073428267
2010-03-11,-0.7496020350230264
2010-03-12,-0.7908287154037784
2010-03-15,-0.828655988880251
2010-03-16,-0.8689190299385485
2010-03-17,-0.9097775199424516
2010-03-18,-0.9489459510790967
2010-03-19,-0.9929830342964104
2010-03-22,-1.0273317570327243
2010-03-23,-1.0576012842038984
2010-03-24,-1.079237820099235
2010-03-25,-1.0918211278840988
2010-03-26,-1.092409491126538
2010-03-28,-1.0907211999398774
2010-03-29,-1.09168644332889
2010-03-30,-1.093743705078403
2010-03-31,-1.0930155103452535
2010-04-01,-1.0672887501307433
2010-04-04,-1.03764665862247
2010-04-05,-1.0093747554901984
2010-04-06,-0.991377903603977
2010-04-07,-0.9856772716159439
2010-04-08,-0.9925607694811095
2010-04-11,-0.9984869870175402
2010-04-12,-0.9954712786391459
2010-04-13,-0.9865358481596437
2010-04-14,-0.9851167378668723
2010-04-15,-0.9952935499060501
2010-04-18,-1.009344471497319
2010-04-19,-1.0217693804853243
2010-04-20,-1.0290461642205584
2010-04-21,-1.026690660660654
2010-04-22,-1.0141109064386444
2010-04-25,-0.9975374604630918
2010-04-26,-0.9896410857463455
2010-04-27,-0.9895081715903468
2010-04-28,-0.9818583087887003
2010-04-29,-0.9791831080023113
2010-05-02,-0.9847974899498856
2010-05-03,-0.991134553349022
2010-05-04,-0.9873816388692577
2010-05-05,-0.9936310823157054
2010-05-06,-1.012558584992729
2010-05-09,-1.0429406847518035
2010-05-10,-1.0641651618165413
2010-05-11,-1.0665011915931384
2010-05-12,-1.0521607779261724
2010-05-13,-1.0152450038687229
2010-05-16,-0.9733336734092409
2010-05-17,-0.9400059508698394
2010-05-18,-0.9116609242356477
2010-05-19,-0.8844504282240484
2010-05-20,-0.8415508556513148
2010-05-23,-0.788458651769749
2010-05-24,-0.7358969700040213
2010-05-25,-0.6883269615942765
2010-05-26,-0.650594505712338
2010-05-27,-0.6218733662481292
2010-05-30,-0.5978685600159206
2010-05-31,-0.5539991466110482
2010-06-01,-0.520997687192488
2010-06-02,-0.4757214012390098
2010-06-03,-0.4517567483910288
2010-06-06,-0.4391467153849024
2010-06-07,-0.41578398225256186
2010-06-08,-0.4062665620442662
2010-06-09,-0.41917261491722885
2010-06-10,-0.42428694020717406
2010-06-13,-0.4082899936588649
2010-06-14,-0.39727942841515934
2010-06-15,-0.39120945467747953
2010-06-16,-0.40396928999868126
2010-06-17,-0.4281524225351349
2010-06-20,-0.4587139801210429
2010-06-21,-0.49561167612025064
2010-06-22,-0.5258546139482033
2010-06-23,-0.548637920759246
2010-06-24,-0.5867501693668195
2010-06-27,-0.6467580866100096
2010-06-28,-0.7159665020569054
2010-06-29,-0.7633131217014959
2010-06-30,-0.8092248537079215
2010-07-01,-0.8406937249408449
2010-07-04,-0.8668079154358377
2010-07-05,-0.8914586791416519
2010-07-06,-0.9302431444768886
2010-07-07,-0.9506297676159207
2010-07-08,-0.9846315185278804
2010-07-11,-1.0030147339677111
2010-07-12,-1.0115928524652222
2010-07-13,-1.0373446774693431
2010-07-14,-1.05404867485782
2010-07-15,-1.0548170916865194
2010-07-18,-1.0562903088688023
2010-07-19,-1.073447393429851
2010-07-20,-1.085993843796464
2010-07-21,-1.1034494167115931
2010-07-22,-1.1070037718388237
2010-07-25,-1.103575891651465
2010-07-26,-1.101180479611761
2010-07-27,-1.0967125871185348
2010-07-28,-1.0834648933390123
2010-07-29,-1.0777284693986229
2010-08-01,-1.0583372960597421
2010-08-02,-1.0316002780084372
2010-08-03,-1.0002452231734826
2010-08-04,-0.9871718114561874
2010-08-05,-0.9778724435877884
2010-08-08,-0.9816044643971434
2010-08-09,-0.9868532648764456
2010-08-10,-0.9907221105845363
2010-08-11,-1.0052149992809545
2010-08-12,-1.0208639552617143
2010-08-15,-1.0326672139520185
2010-08-16,-1.036982678122774
2010-08-17,-1.0388875658199372
2010-08-18,-1.0290446043361225
2010-08-19,-1.016764030595148
2010-08-22,-0.9991352549873117
2010-08-23,-0.9853386417878527
2010-08-24,-0.9675157275915918
