Date,kdjk
2010-01-04,55.926463473633305
2010-01-05,68.6147810854265
2010-01-06,74.45086502500058
2010-01-07,79.32209622659231
2010-01-08,78.85486774541323
2010-01-11,78.11548307546163
2010-01-12,80.3183237619038
2010-01-13,85.46681575568935
2010-01-14,88.3822764936406
2010-01-15,90.23668752451923
2010-01-18,89.92459552389073
2010-01-19,91.84656351935517
2010-01-20,94.30098674190552
2010-01-21,95.5692450418281
2010-01-22,94.41397142085067
2010-01-25,84.70121691345337
2010-01-26,86.80564219350993
2010-01-27,87.67608930348905
2010-01-28,91.12235564814904
2010-01-29,94.08157043209935
2010-02-01,89.760003009233
2010-02-02,79.30050296954647
2010-02-03,75.64205453751126
2010-02-04,79.95772024423137
2010-02-05,83.03097655531731
2010-02-08,81.84749086371801
2010-02-09,72.83339217754359
2010-02-10,69.01735524678952
2010-02-11,66.73307088602704
2010-02-12,67.36908558487748
2010-02-15,65.73153905426207
2010-02-16,60.32588040510673
2010-02-17,54.352274700450906
2010-02-18,48.6211778028092
2010-02-19,42.68582164985163
2010-02-22,45.015655991675985
2010-02-23,49.70740702475371
2010-02-24,52.56467827624272
2010-02-25,61.472748480458144
2010-02-26,58.85622845557116
2010-03-01,54.69642283511511
2010-03-02,36.464281890076734
2010-03-03,41.84506628374784
2010-03-04,45.59023376262493
2010-03-05,44.76947653685265
2010-03-08,47.08665585548628
2010-03-09,47.514292309454575
2010-03-10,45.52482611290529
2010-03-11,48.508819709933974
2010-03-12,50.954964929932075
2010-03-15,52.98350088407564
2010-03-16,56.24516606273297
2010-03-17,56.748965123763085
2010-03-18,60.7886182586093
2010-03-19,72.16937069775176
2010-03-22,77.77305797975755
2010-03-23,75.19233731434572
2010-03-24,77.83162343441785
2010-03-25,81.54789313753496
2010-03-26,87.6985954250233
2010-03-28,87.42104429301071
2010-03-29,82.79760440790089
2010-03-30,73.82076361703605
2010-03-31,62.6094810406409
2010-04-01,56.69529407779099
2010-04-04,51.32664725591641
2010-04-05,46.6804959046598
2010-04-06,51.52505235690079
2010-04-07,53.86084264066419
2010-04-08,58.51415307069396
2010-04-11,59.395110311592134
2010-04-12,43.28707313993831
2010-04-13,46.49172339022051
2010-04-14,50.835752101416816
2010-04-15,55.96842347886658
2010-04-18,60.869280876242904
2010-04-19,61.32266632730763
2010-04-20,62.192593796009646
2010-04-21,73.1746921603028
2010-04-22,80.17201699575742
2010-04-25,76.13319651569014
2010-04-26,83.16287175120084
2010-04-27,83.85570760424886
2010-04-28,71.85782805800507
2010-04-29,66.35362256576727
2010-05-02,63.99149550361501
2010-05-03,68.99001999091581
2010-05-04,76.53174030580034
2010-05-05,82.80644367793202
2010-05-06,85.46768319153254
2010-05-09,74.22945842631037
2010-05-10,66.84196583034334
2010-05-11,61.56811327465068
2010-05-12,57.441710960354946
2010-05-13,60.28850592020854
2010-05-16,59.68018450236123
2010-05-17,61.42140505285621
2010-05-18,65.7186656396331
2010-05-19,75.45973058146083
2010-05-20,73.8370034862321
2010-05-23,75.5604742769975
2010-05-24,76.421499850792
2010-05-25,76.00613031966813
2010-05-26,64.59269051158839
2010-05-27,56.5168734392957
2010-05-30,53.11491903141848
2010-05-31,54.55485710683292
2010-06-01,54.94727893387801
2010-06-02,53.014417510969736
2010-06-03,55.41483301336688
2010-06-06,70.27655534224458
2010-06-07,76.29548133927418
2010-06-08,76.14143200396057
2010-06-09,69.16373244708484
2010-06-10,61.957907981617865
2010-06-13,54.499157748002716
2010-06-14,44.94097778534051
2010-06-15,42.152336141601175
2010-06-16,39.964371616129704
2010-06-17,36.117800255502004
2010-06-20,34.8997153916189
2010-06-21,35.39246117971444
2010-06-22,52.505437981729806
2010-06-23,56.82317987003959
2010-06-24,60.267925877874674
2010-06-27,64.56206991699204
2010-06-28,76.37471327799469
2010-06-29,77.41704177007875
2010-06-30,81.131934981487
2010-07-01,74.39750742820162
2010-07-04,69.44682313395262
2010-07-05,63.722124513544124
2010-07-06,59.14808300902937
2010-07-07,58.20887937368768
2010-07-08,53.72188596901307
2010-07-11,52.847192109747894
2010-07-12,50.93339088088315
2010-07-13,57.38395649368821
2010-07-14,66.63097099579213
2010-07-15,77.10594502190109
2010-07-18,84.7372966812674
2010-07-19,81.81780978045694
2010-07-20,79.06019770196251
2010-07-21,73.27117236568223
2010-07-22,69.51764224731548
2010-07-25,68.8142306340128
2010-07-26,65.77833584780686
2010-07-27,64.35636234850027
2010-07-28,64.3489368252605
2010-07-29,61.97378331616311
2010-08-01,58.49024848009102
2010-08-02,61.34343512976692
2010-08-03,66.07547953495256
2010-08-04,68.70259786742639
2010-08-05,71.36380424788346
2010-08-08,50.655048384219455
2010-08-09,58.513262881729794
2010-08-10,67.35817891246552
2010-08-11,74.68998999741048
2010-08-12,78.69066506798217
2010-08-15,62.599860362178234
2010-08-16,65.98334586037912
2010-08-17,65.02818748106392
2010-08-18,64.8138909358339
2010-08-19,69.6562399225796
2010-08-22,50.974779894478054
2010-08-23,59.785325633751896
2010-08-24,65.48076967383811
2010-08-25,71.06026356152483
2010-08-26,70.94748408557982
2010-08-29,47.08600849866682
2010-08-30,54.87262562331499
2010-08-31,57.98302430089363
2010-09-01,56.70256842148409
2010-09-02,58.56194619911806
2010-09-05,38.488047120297225
2010-09-06,44.1023943016722
2010-09-07,49.75326099722405
2010-09-08,49.480101420521265
2010-09-09,51.201670528070665
2010-09-12,32.65469623989756
2010-09-13,44.203408274081504
2010-09-14,48.917279195343724
2010-09-15,61.269770982964076
2010-09-16,68.83485218106259
2010-09-19,48.61098988941589
