Date,mdi
2010-01-04,
2010-01-05,-1.986338638466723
2010-01-06,-2.02081554502926
2010-01-07,-2.0429527979864415
2010-01-08,-2.0533712753750133
2010-01-11,-1.142882153042767
2010-01-12,-1.3394959271506792
2010-01-13,-1.4734838204849194
2010-01-14,-1.591570177281779
2010-01-15,-1.6817777592856362
2010-01-18,-1.7445831084492747
2010-01-19,-1.4141839721272316
2010-01-20,-1.5311807485349749
2010-01-21,-1.6197061828066408
2010-01-22,-1.7020395632819767
2010-01-25,-1.7553634019553574
2010-01-26,-1.8042152259338688
2010-01-27,-1.0922798967494396
2010-01-28,-1.2355223606840402
2010-01-29,-1.3438639082855588
2010-02-01,-1.4604607721349396
2010-02-02,-1.2241756387078613
2010-02-03,-0.5975785879865119
2010-02-04,-0.867912636659392
2010-02-05,-1.0295148790408633
2010-02-08,-1.1586589224302029
2010-02-09,-0.9414370729115474
2010-02-10,-0.5167755802027786
2010-02-11,-0.7222119698281484
2010-02-12,-0.9101969156546456
2010-02-15,-1.0476376383184003
2010-02-16,-0.9854337752949772
2010-02-17,-0.8205536702874028
2010-02-18,-0.6199313602300888
2010-02-19,-0.6132080464678422
2010-02-22,-0.11018908498060782
2010-02-23,-0.3724662670621121
2010-02-24,-0.5775916335165292
2010-02-25,-0.7878089268800604
2010-02-26,-0.9629414237310704
2010-03-01,-0.4134041318787585
2010-03-02,-0.1942133383641079
2010-03-03,-0.44066784277942944
2010-03-04,-0.584107575819166
2010-03-05,-0.7153903475724268
2010-03-08,-0.6018781572581344
2010-03-09,-0.8009859960126965
2010-03-10,-0.6185319173199888
2010-03-11,-0.6213608760514675
2010-03-12,-0.6879711586040648
2010-03-15,-0.8479170382196914
2010-03-16,-1.0058448104753352
2010-03-17,-1.140008859759931
2010-03-18,-1.2856334394770423
2010-03-19,-1.3929816039239877
2010-03-22,-1.4893013290725414
2010-03-23,-1.3027447143833184
2010-03-24,-1.1280617010123102
2010-03-25,-1.2581151934358639
2010-03-26,-1.3623605854824465
2010-03-28,-1.4525575091566778
2010-03-29,-0.7648963636128596
2010-03-30,-0.7702534588349166
2010-03-31,-0.6781897998525047
2010-04-01,-0.4888427045243369
2010-04-04,-0.6842862637031925
2010-04-05,-0.8704485143962697
2010-04-06,-1.053990165472855
2010-04-07,-1.2107402511968814
2010-04-08,-1.3173055458199452
2010-04-11,-0.9751844210847169
2010-04-12,-0.8285325050739422
2010-04-13,-0.8434361073752155
2010-04-14,-0.8760043209513014
2010-04-15,-1.043344598442038
2010-04-18,-1.1807001719916985
2010-04-19,-1.1541240309499396
2010-04-20,-1.195020050236339
2010-04-21,-1.3216125730455452
2010-04-22,-1.4173084972039014
2010-04-25,-1.2515346041337843
2010-04-26,-1.3737584146070927
2010-04-27,-1.4612528512010101
2010-04-28,-0.9868939903695957
2010-04-29,-0.44601922536879185
2010-05-02,-0.6729163292401057
2010-05-03,-0.8987564685229171
2010-05-04,-1.0784735388866373
2010-05-05,-1.2505631370792416
2010-05-06,-1.3621383406893004
2010-05-09,-0.682829658405991
2010-05-10,0.5265229799649058
2010-05-11,0.2205310529361837
2010-05-12,0.30413559787138733
2010-05-13,-0.083526356462674
2010-05-16,-0.36135405002868365
2010-05-17,-0.5948364379790357
2010-05-18,-0.8226468998401394
2010-05-19,-1.0490999962138858
2010-05-20,-1.1858111716890927
2010-05-23,-0.5229849654431057
2010-05-24,-0.760629289742235
2010-05-25,-0.33795917236631534
2010-05-26,-0.5464624618442977
2010-05-27,0.5160797561874103
2010-05-30,0.8930534397575821
2010-05-31,0.626867550103041
2010-06-01,0.6715327843800538
2010-06-02,1.0930714280826797
2010-06-03,0.7828785461614974
2010-06-06,0.34569431248008964
2010-06-07,0.0605631394402811
2010-06-08,0.47948804514538673
2010-06-09,0.2710844785419296
2010-06-10,1.265919952399221
2010-06-13,0.838125142617193
2010-06-14,0.48700540940887266
2010-06-15,0.879035560741635
2010-06-16,0.5089206855413875
2010-06-17,0.302792977021124
2010-06-20,0.2761678879344027
2010-06-21,-0.021233339870162463
2010-06-22,-0.3156137229557688
2010-06-23,-0.5392253022723844
2010-06-24,-0.6053645968322857
2010-06-27,-0.6626277974692034
2010-06-28,-0.8800641107412871
2010-06-29,-1.0264270218394906
2010-06-30,-1.1200290364210133
2010-07-01,0.28826346023941085
2010-07-04,0.5467216398936096
2010-07-05,0.21433620742633167
2010-07-06,-0.08469705450138647
2010-07-07,0.05274432662582864
2010-07-08,-0.17004782194376644
2010-07-11,-0.271151993305467
2010-07-12,-0.5006768630101008
2010-07-13,-0.4580926062444152
2010-07-14,-0.6865635744437155
2010-07-15,-0.9006278632674332
2010-07-18,-1.0584052173914338
2010-07-19,-1.1921286329516179
2010-07-20,-0.7567545471833738
2010-07-21,-0.9225618602057469
2010-07-22,-0.3942739669977983
2010-07-25,-0.6249126384293683
2010-07-26,-0.8191958547094983
2010-07-27,-0.9800007729277832
2010-07-28,-1.1200373096085137
2010-07-29,-0.8956833026030432
2010-08-01,-0.9328798134237583
2010-08-02,-1.0912688139974642
2010-08-03,-1.2181057955038204
2010-08-04,-1.1385227817427388
2010-08-05,-1.2655474679357968
2010-08-08,-1.3709219076968664
2010-08-09,-1.184464573853982
2010-08-10,-1.3176400199918672
2010-08-11,-1.4172921491685737
2010-08-12,-1.3398328982171932
2010-08-15,-1.4328035814061006
2010-08-16,-0.9743292855558227
2010-08-17,-1.0856480323006497
2010-08-18,-1.2228932567979738
2010-08-19,-1.3391841402233249
2010-08-22,-1.437683971739282
2010-08-23,-1.532105787372564
