Date,pdi
2010-01-04,
2010-01-05,-1.8204158299925965
2010-01-06,-1.8204158299925965
2010-01-07,-1.2599133516279215
2010-01-08,-1.2999317617965318
2010-01-11,-1.4140132161570993
2010-01-12,-1.0406354234855877
2010-01-13,-1.0802890073629015
2010-01-14,-0.5387134377000906
2010-01-15,-0.753205709932635
2010-01-18,-0.8204162664456915
2010-01-19,-1.0014760450457911
2010-01-20,-0.8290933965443533
2010-01-21,-0.6554788680014877
2010-01-22,-0.19825405614733282
2010-01-25,-0.4220957757335213
2010-01-26,-0.03201545677735641
2010-01-27,-0.3332906342498745
2010-01-28,-0.4352102521739893
2010-01-29,-0.5720485641414943
2010-02-01,-0.26826088592097824
2010-02-02,-0.46668777280801604
2010-02-03,-0.6653425363814253
2010-02-04,0.05765076141852534
2010-02-05,-0.19100536199362625
2010-02-08,-0.3897183050675261
2010-02-09,-0.5651169905460783
2010-02-10,-0.7311607044147167
2010-02-11,-0.8605733168987223
2010-02-12,-0.7733366392203976
2010-02-15,-0.8954738362447595
2010-02-16,-1.0088232035470646
2010-02-17,-1.1199145594871396
2010-02-18,-1.2088931696357503
2010-02-19,-1.2860198176621789
2010-02-22,-1.3584332380188102
2010-02-23,-1.1642593612928367
2010-02-24,-1.1721312276566307
2010-02-25,-0.9435326116825244
2010-02-26,-1.0616036552780164
2010-03-01,-1.164247691036478
2010-03-02,-1.2551874535672218
2010-03-03,-1.3287270494367132
2010-03-04,-1.3897438272458156
2010-03-05,-1.4426055198107082
2010-03-08,-1.493230984922188
2010-03-09,-1.3120915088325753
2010-03-10,-1.377959561649688
2010-03-11,-1.434303474663522
2010-03-12,-1.4840934333438303
2010-03-15,-1.5266431898690571
2010-03-16,-1.5569380814379659
2010-03-17,-1.5895894078016606
2010-03-18,-1.1060475014733493
2010-03-19,-0.9445246658887553
2010-03-22,-0.8265765080725996
2010-03-23,-0.9625461816977052
2010-03-24,-1.0837329155204038
2010-03-25,-0.9639546108673267
2010-03-26,-0.607692211678118
2010-03-28,-0.7583354993508699
2010-03-29,-0.9055615993763496
2010-03-30,-1.0233721160588736
2010-03-31,-1.1224668075062383
2010-04-01,-1.207568001170602
2010-04-04,-1.2824460351930902
2010-04-05,-1.35376822866759
2010-04-06,-1.189537488788397
2010-04-07,-1.0439084978487903
2010-04-08,-1.1381840576047946
2010-04-11,-1.2278077495807271
2010-04-12,-1.308596384188228
2010-04-13,-1.3713002164631998
2010-04-14,-1.4303139792380863
2010-04-15,-1.2447535707239221
2010-04-18,-1.2016335079798277
2010-04-19,-1.2827037588395946
2010-04-20,-1.3501780194294397
2010-04-21,-1.0716653426598965
2010-04-22,-1.1651013589055714
2010-04-25,-1.2526441533952948
2010-04-26,-1.053790196944108
2010-04-27,-1.0565295627891742
2010-04-28,-1.157539738092916
2010-04-29,-1.2423347374517484
2010-05-02,-1.1684491636226708
2010-05-03,-0.7622790618779755
2010-05-04,-0.22840107942553842
2010-05-05,0.6471567908924399
2010-05-06,0.8713439674504849
2010-05-09,0.4807792143468403
2010-05-10,0.16683740444431006
2010-05-11,-0.06569965674469481
2010-05-12,-0.2729636842018846
2010-05-13,0.43423877846313247
2010-05-16,0.20097534609628415
2010-05-17,-0.07228856439073686
2010-05-18,0.4732380819371741
2010-05-19,0.8264291506777874
2010-05-20,0.5873011424378434
2010-05-23,0.2772764888347298
2010-05-24,0.8403021349067175
2010-05-25,0.47522621689336714
2010-05-26,0.34978821535307564
2010-05-27,0.07622042602312203
2010-05-30,-0.199270355780147
2010-05-31,0.05813181992233798
2010-06-01,-0.15832769004439126
2010-06-02,-0.377673796258176
2010-06-03,0.030616797279904847
2010-06-06,0.3845534770680295
2010-06-07,0.1875341692685487
2010-06-08,-0.06761768890669695
2010-06-09,-0.2752948455947998
2010-06-10,-0.4811853895124362
2010-06-13,-0.651981078710704
2010-06-14,-0.7325833625828345
2010-06-15,-0.8788123153106363
2010-06-16,-0.9962513983364066
2010-06-17,-1.102203567288006
2010-06-20,-1.192001471334175
2010-06-21,-1.2331664293676514
2010-06-22,-0.5532491745475075
2010-06-23,-0.7293343650589428
2010-06-24,-0.8759112235880265
2010-06-27,-0.9994406605093396
2010-06-28,-0.5821082010530865
2010-06-29,-0.7043526353133897
2010-06-30,-0.8027153990185733
2010-07-01,-0.9413133289679319
2010-07-04,-1.0557309369219965
2010-07-05,-1.1448231205749924
2010-07-06,-1.0576685153413643
2010-07-07,-1.1598829477238484
2010-07-08,-1.2471888652898775
2010-07-11,-1.322488128765011
2010-07-12,-1.3853756425207437
2010-07-13,-1.4478452456540634
2010-07-14,-1.285211778589797
2010-07-15,-1.1425700492575497
2010-07-18,-1.1824526466872518
2010-07-19,-1.0230816281483939
2010-07-20,-1.1257333175437418
2010-07-21,-1.1391700741512525
2010-07-22,-1.2302041369338153
2010-07-25,-1.1528304816222978
2010-07-26,-1.2414504284289807
2010-07-27,-1.2927789746176614
2010-07-28,-1.3495708682927834
2010-07-29,-1.4130751239863946
2010-08-01,-1.466924287826063
2010-08-02,-1.3656355755889098
2010-08-03,-1.4234802616230111
2010-08-04,-1.4755616744309341
2010-08-05,-1.4547929587880684
2010-08-08,-1.5016104537630794
2010-08-09,-1.547196450948821
2010-08-10,-1.3595270822167471
2010-08-11,-1.2729491573137517
2010-08-12,-1.3438744098748558
2010-08-15,-1.4030542344887977
2010-08-16,-1.4560257156646996
2010-08-17,-1.5034230357735332
2010-08-18,-1.3127495176324844
2010-08-19,-1.3560842090969698
2010-08-22,-1.4171242133934414
2010-08-23,-1.062588956842924
