Date,trix
2010-01-04,
2010-01-05,0.8632096774866425
2010-01-06,0.46634072713962876
2010-01-07,0.3608153600006339
2010-01-08,0.2438229883398199
2010-01-11,0.14803966846803876
2010-01-12,0.10106248282224642
2010-01-13,0.10146106586409288
2010-01-14,0.1654247979045291
2010-01-15,0.2406702226229571
2010-01-18,0.3050160136957108
2010-01-19,0.3763432085152005
2010-01-20,0.4692829428503306
2010-01-21,0.5803363240186789
2010-01-22,0.7172052430868014
2010-01-25,0.7929270444780037
2010-01-26,0.9048108925123959
2010-01-27,1.0469294488509246
2010-01-28,1.2167207128204378
2010-01-29,1.3900535968359224
2010-02-01,1.530487487146993
2010-02-02,1.5892324397771962
2010-02-03,1.6167977988198396
2010-02-04,1.6588318219872187
2010-02-05,1.7018825333948493
2010-02-08,1.7197541764132622
2010-02-09,1.6758986907405975
2010-02-10,1.6014570106226793
2010-02-11,1.5081959667082268
2010-02-12,1.412643171340298
2010-02-15,1.3067066519064308
2010-02-16,1.1843985652554476
2010-02-17,1.0429702880860177
2010-02-18,0.876820065908929
2010-02-19,0.6829394721757285
2010-02-22,0.48755336514743125
2010-02-23,0.3161553678636711
2010-02-24,0.16707331479184065
2010-02-25,0.06175688029686271
2010-02-26,-0.04938335052107768
2010-03-01,-0.16759098451196985
2010-03-02,-0.36554291885516144
2010-03-03,-0.5283402342187664
2010-03-04,-0.6577530034413327
2010-03-05,-0.7704170494204
2010-03-08,-0.8552905115545506
2010-03-09,-0.9202901234186878
2010-03-10,-0.9830480805746179
2010-03-11,-1.0364343903367677
2010-03-12,-1.087963109250908
2010-03-15,-1.1314580595468147
2010-03-16,-1.1578949278535908
2010-03-17,-1.1742349670921681
2010-03-18,-1.1684064351012848
2010-03-19,-1.1152109218249424
2010-03-22,-1.028056443577307
2010-03-23,-0.9463378748541015
2010-03-24,-0.8540310971088056
2010-03-25,-0.7513816433056898
2010-03-26,-0.6159820356512484
2010-03-28,-0.48643060678716576
2010-03-29,-0.38657575646749237
2010-03-30,-0.32756956232654894
2010-03-31,-0.31610444178408764
2010-04-01,-0.3342661098755031
2010-04-04,-0.3745370509565339
2010-04-05,-0.4346934065863521
2010-04-06,-0.47121993262101364
2010-04-07,-0.49526823247889035
2010-04-08,-0.5117200003148563
2010-04-11,-0.540523184494015
2010-04-12,-0.6290385293400937
2010-04-13,-0.7045672195420503
2010-04-14,-0.7604444351231456
2010-04-15,-0.7907937504641555
2010-04-18,-0.7962517444116358
2010-04-19,-0.7942119222396891
2010-04-20,-0.791443072263037
2010-04-21,-0.7660676935622159
2010-04-22,-0.7273985943387375
2010-04-25,-0.7056979555559254
2010-04-26,-0.6664104137383086
2010-04-27,-0.626228362256137
2010-04-28,-0.621925985075908
2010-04-29,-0.641159162113957
2010-05-02,-0.6688536523040459
2010-05-03,-0.6742493594043969
2010-05-04,-0.6240191610496459
2010-05-05,-0.4703346834970317
2010-05-06,-0.24235721637891988
2010-05-09,-0.08170568645011793
2010-05-10,0.02818559950730096
2010-05-11,0.09683382824442521
2010-05-12,0.1304536265073183
2010-05-13,0.18215615491060108
2010-05-16,0.2411288307679017
2010-05-17,0.3157228175702849
2010-05-18,0.4109798787580862
2010-05-19,0.5823359630410561
2010-05-20,0.7359305920484404
2010-05-23,0.8853623948407942
2010-05-24,1.0266217820525843
2010-05-25,1.1419155488869437
2010-05-26,1.1680128634131584
2010-05-27,1.131461863997297
2010-05-30,1.0548188531506766
2010-05-31,0.9796700734458725
2010-06-01,0.9020727146995853
2010-06-02,0.809071726924396
2010-06-03,0.7341060186865142
2010-06-06,0.7163361278983083
2010-06-07,0.712883760718681
2010-06-08,0.6919296311862523
2010-06-09,0.6206455150255678
2010-06-10,0.5197444154195
2010-06-13,0.3922810730447918
2010-06-14,0.23311524696098063
2010-06-15,0.06623038260047429
2010-06-16,-0.09740769709767619
2010-06-17,-0.26566300093499
2010-06-20,-0.4368524941106164
2010-06-21,-0.5939747145357533
2010-06-22,-0.6878247155751313
2010-06-23,-0.764317791163409
2010-06-24,-0.8215146607443606
2010-06-27,-0.8586019592441482
2010-06-28,-0.845864588242212
2010-06-29,-0.8228473934208769
2010-06-30,-0.7825470971189292
2010-07-01,-0.7633548231263348
2010-07-04,-0.7575679808976322
2010-07-05,-0.7664687947035117
2010-07-06,-0.7842483501340666
2010-07-07,-0.7999564615931284
2010-07-08,-0.8265305596318689
2010-07-11,-0.8511500427488712
2010-07-12,-0.8758321397411364
2010-07-13,-0.8836804185635139
2010-07-14,-0.8731663343879371
2010-07-15,-0.8334359182173507
2010-07-18,-0.7713497999196408
2010-07-19,-0.7138018811310746
2010-07-20,-0.6637500057860329
2010-07-21,-0.6342339877539461
2010-07-22,-0.6170832004491758
2010-07-25,-0.6003830442871154
2010-07-26,-0.5899061356748101
2010-07-27,-0.5803623309531583
2010-07-28,-0.56734234815918
2010-07-29,-0.5598795524081649
2010-08-01,-0.575244294357395
2010-08-02,-0.5880591706659574
2010-08-03,-0.5970943012568726
2010-08-04,-0.6032432059093076
2010-08-05,-0.604599913354457
2010-08-08,-0.6615376918471338
2010-08-09,-0.6901345573257929
2010-08-10,-0.6861596536048534
2010-08-11,-0.6497457712710166
2010-08-12,-0.5970233256775271
2010-08-15,-0.5944521999450287
2010-08-16,-0.5772649349261129
2010-08-17,-0.5608730462102411
2010-08-18,-0.5433612569404254
2010-08-19,-0.5095135688346103
2010-08-22,-0.5295653782715554
2010-08-23,-0.5160861205289883
2010-08-24,-0.4824634505379569
2010-08-25,-0.4324324565532663
