Date,close_20_mstd
2010-01-04,
2010-01-05,-0.9668428823738284
2010-01-06,-1.101595581135591
2010-01-07,-1.1114826991265774
2010-01-08,-1.1576053141018399
2010-01-11,-1.188930142517513
2010-01-12,-1.1983950796684413
2010-01-13,-1.1550151105051831
2010-01-14,-0.9792664535651511
2010-01-15,-0.899523485340889
2010-01-18,-0.8635928162497691
2010-01-19,-0.7888990371044098
2010-01-20,-0.6595737469690659
2010-01-21,-0.5198464231537203
2010-01-22,-0.33673248886557716
2010-01-25,-0.3440110587364391
2010-01-26,-0.17003864437577587
2010-01-27,0.019694821078315227
2010-01-28,0.2301987615722699
2010-01-29,0.39739522633423985
2010-02-01,0.4528694732137761
2010-02-02,0.43922538203414385
2010-02-03,0.4303599631069997
2010-02-04,0.4911633896349182
2010-02-05,0.4970426842496358
2010-02-08,0.4263196892882201
2010-02-09,0.29190292665526163
2010-02-10,0.16205746157388273
2010-02-11,0.06645301855022982
2010-02-12,-0.0483048525879866
2010-02-15,-0.21176825892002607
2010-02-16,-0.36920566164483737
2010-02-17,-0.48229224887552363
2010-02-18,-0.5381627832953447
2010-02-19,-0.49243195057392924
2010-02-22,-0.6009591651905104
2010-02-23,-0.5743930090793986
2010-02-24,-0.5406973565272555
2010-02-25,-0.5597349123653392
2010-02-26,-0.5416072934232186
2010-03-01,-0.49292074992423784
2010-03-02,-0.13407456227244344
2010-03-03,-0.09003963835301645
2010-03-04,-0.12737169063928455
2010-03-05,-0.1764035634254979
2010-03-08,-0.23245432035318442
2010-03-09,-0.22461220326385703
2010-03-10,-0.21898714191936555
2010-03-11,-0.23991213933113648
2010-03-12,-0.29087998945189614
2010-03-15,-0.34841641924497735
2010-03-16,-0.41155863137008025
2010-03-17,-0.4562916377717157
2010-03-18,-0.48953743618950546
2010-03-19,-0.49945219186245554
2010-03-22,-0.5135402995664327
2010-03-23,-0.5696289959536183
2010-03-24,-0.6254888535670938
2010-03-25,-0.7675032039434543
2010-03-26,-0.7033202569410355
2010-03-28,-0.6787265416914063
2010-03-29,-0.8047145674116627
2010-03-30,-0.8055102250063471
2010-03-31,-0.7900891297272553
2010-04-01,-0.7747796353327261
2010-04-04,-0.7525732172442644
2010-04-05,-0.7149867590447089
2010-04-06,-0.7211408349237433
2010-04-07,-0.7246688344741061
2010-04-08,-0.7393494055090855
2010-04-11,-0.7276009442865736
2010-04-12,-0.5361209651014551
2010-04-13,-0.5060044199442315
2010-04-14,-0.4802247073847938
2010-04-15,-0.484581894931358
2010-04-18,-0.5077765157480358
2010-04-19,-0.4985110872666896
2010-04-20,-0.5055226283727796
2010-04-21,-0.5486969828691886
2010-04-22,-0.7105939554049782
2010-04-25,-0.8197620989125517
2010-04-26,-0.8966369838113661
2010-04-27,-0.9343254362615045
2010-04-28,-0.8948318245101671
2010-04-29,-0.8579357421144072
2010-05-02,-0.8315489535147221
2010-05-03,-0.8311814179708915
2010-05-04,-0.8220179066146628
2010-05-05,-0.5191861455564072
2010-05-06,-0.21985085099929166
2010-05-09,-0.21268139404994885
2010-05-10,-0.28033986361461394
2010-05-11,-0.28754777131133374
2010-05-12,-0.2940730647609285
2010-05-13,-0.2550131505104498
2010-05-16,-0.2192531477505285
2010-05-17,-0.1690747948585853
2010-05-18,-0.1026921362244202
2010-05-19,0.17566760256531702
2010-05-20,0.2521080407539887
2010-05-23,0.31955250448238726
2010-05-24,0.4118705696294276
2010-05-25,0.4528043165121388
2010-05-26,0.33725702999398804
2010-05-27,0.18762923901876247
2010-05-30,0.01410915123576507
2010-05-31,-0.11177454233966273
2010-06-01,-0.16166994691538533
2010-06-02,-0.16513713871745037
2010-06-03,-0.17927379616472955
2010-06-06,-0.1790472891194347
2010-06-07,-0.23837380525151752
2010-06-08,-0.3536173698108299
2010-06-09,-0.4954648175925134
2010-06-10,-0.5177158854444278
2010-06-13,-0.5131397461400682
2010-06-14,-0.42418250741614805
2010-06-15,-0.34282154973216833
2010-06-16,-0.37289970410441037
2010-06-17,-0.2857672902914727
2010-06-20,-0.22657837802078118
2010-06-21,-0.230120717280879
2010-06-22,-0.307154197622907
2010-06-23,-0.27378403778031474
2010-06-24,-0.2478045986410686
2010-06-27,-0.2293403887875292
2010-06-28,-0.2549564690171682
2010-06-29,-0.27317232978861566
2010-06-30,-0.2822064556096319
2010-07-01,-0.30961765908107713
2010-07-04,-0.5157404854018562
2010-07-05,-0.7049451541491202
2010-07-06,-0.8493234962825176
2010-07-07,-0.8852886228943778
2010-07-08,-0.9033710049683481
2010-07-11,-0.913068761302156
2010-07-12,-0.8844983527509462
2010-07-13,-0.8850082507475373
2010-07-14,-0.8900347425142391
2010-07-15,-0.8868403985765326
2010-07-18,-0.8901467841841122
2010-07-19,-0.896209468913329
2010-07-20,-0.9394539828106655
2010-07-21,-0.9241703091184275
2010-07-22,-0.913488222764394
2010-07-25,-0.9150543997406149
2010-07-26,-1.0093021110235967
2010-07-27,-1.0453428210645057
2010-07-28,-1.146738307442509
2010-07-29,-1.1453935307150152
2010-08-01,-1.0924600314928214
2010-08-02,-1.0806241331564337
2010-08-03,-1.0699759706031424
2010-08-04,-1.061102158498315
2010-08-05,-1.0566308692466482
2010-08-08,-0.8349891319231606
2010-08-09,-0.8309306848934911
2010-08-10,-0.8333813240782646
2010-08-11,-0.8352044996025382
2010-08-12,-0.8673109108785226
2010-08-15,-0.8428972131136012
2010-08-16,-0.8654484480659133
2010-08-17,-0.8832198877681152
2010-08-18,-0.8853995627475658
2010-08-19,-0.8852940756553415
2010-08-22,-0.8027626374889607
2010-08-23,-0.8019905742264472
2010-08-24,-0.8038970313714715
2010-08-25,-0.8037215161061493
2010-08-26,-0.8056439311205126
2010-08-29,-0.6733064060755125
2010-08-30,-0.6724703558156001
2010-08-31,-0.6739303549955787
2010-09-01,-0.6725338163534396
2010-09-02,-0.6721862863972194
2010-09-05,-0.5072473590240169
2010-09-06,-0.4942300408132472
2010-09-07,-0.4999023977336081
2010-09-08,-0.5126773679190596
2010-09-09,-0.5358585929959324
2010-09-12,-0.36477239298347697
2010-09-13,-0.37124840562687
2010-09-14,-0.34875372703492286
2010-09-15,-0.35919061097121063
2010-09-16,-0.39390554986816895
2010-09-19,-0.2742581727975639
2010-09-20,-0.3218169007051636
2010-09-21,-0.3753148152984766
2010-09-22,-0.3817930948167886
2010-09-23,-0.444053816343821
2010-09-26,-0.36239421841219216
2010-09-27,-0.4316052170923304
2010-09-28,-0.49675208652625175
2010-09-29,-0.540203883975573
2010-09-30,-0.5870948384818101
2010-10-03,-0.42285100761507405
2010-10-04,-0.44282583585712687
2010-10-05,-0.4432710284302865
2010-10-06,-0.4557903900852864
2010-10-07,-0.47546392937585674
2010-10-10,-0.3322171675612315
2010-10-11,-0.3266500179112447
2010-10-12,-0.32136070646157594
2010-10-13,-0.3268515917419882
2010-10-14,-0.3526461005400894
2010-10-17,-0.18346478842319724
2010-10-18,-0.2606037397363632
2010-10-19,-0.3363762151746755
2010-10-20,-0.3363318188375042
2010-10-21,-0.39153636544198495
2010-10-24,-0.3650284422785949
2010-10-25,-0.38696079344271794
2010-10-26,-0.4040369194824573
2010-10-27,-0.35900657758562066
2010-10-28,-0.3191926891407258
2010-11-01,-0.34813131614453136
2010-11-02,-0.3349782712062894
2010-11-03,-0.3111728440658067
2010-11-04,-0.30730301282506745
2010-11-05,-0.3075356312860585
2010-11-08,-0.3975629853278296
2010-11-09,-0.39741629833923936
2010-11-10,-0.3919068633831045
2010-11-11,-0.3958986989685265
2010-11-12,-0.36987537819032057
2010-11-15,-0.6296628554968791
2010-11-16,-0.6077159885260529
2010-11-17,-0.5288070269604167
2010-11-18,-0.5086579023044263
2010-11-19,-0.5017914586896953
2010-11-22,-0.6026840099373788
2010-11-23,-0.5831262511928632
