Date,pdi
2010-01-04,
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,5.467309448676077
2010-01-08,5.076957861517728
2010-01-11,3.964173106017622
2010-01-12,7.606212191651443
2010-01-13,7.219419229666977
2010-01-14,12.502109928606489
2010-01-15,10.409887910130399
2010-01-18,9.75429596387047
2010-01-19,7.988184525427434
2010-01-20,9.669656631830016
2010-01-21,11.363144865993146
2010-01-22,15.82305294938425
2010-01-25,13.63963361451874
2010-01-26,17.44459415598497
2010-01-27,14.505865625733264
2010-01-28,13.51171107407502
2010-01-29,12.176949097386542
2010-02-01,15.14018531424012
2010-02-02,13.204669887592807
2010-02-03,11.266931683333222
2010-02-04,18.319225367964087
2010-02-05,15.893758888370908
2010-02-08,13.95545318379682
2010-02-09,12.24456174724133
2010-02-10,10.624921512329413
2010-02-11,9.362592037755139
2010-02-12,10.21352478212652
2010-02-15,9.022161894179314
2010-02-16,7.916518135633529
2010-02-17,6.832899697817737
2010-02-18,5.964975621166188
2010-02-19,5.212659141264283
2010-02-22,4.506316899064281
2010-02-23,6.400347187756907
2010-02-24,6.323562639943569
2010-02-25,8.553382170297805
2010-02-26,7.401681763641118
2010-03-01,6.400461022941087
2010-03-02,5.5134072771747595
2010-03-03,4.796079980920598
2010-03-04,4.200904011642495
2010-03-05,3.6852751921656073
2010-03-08,3.19145920663212
2010-03-09,4.95834803831474
2010-03-10,4.315851276153068
2010-03-11,3.766255832980927
2010-03-12,3.280589628013801
2010-03-15,2.8655465285292654
2010-03-16,2.570041060998487
2010-03-17,2.251550221027771
2010-03-18,6.9681631448685595
2010-03-19,8.543705375734561
2010-03-22,9.694207117606691
2010-03-23,8.367918100093592
2010-03-24,7.185826315564579
2010-03-25,8.354179859132858
2010-03-26,11.829270258336926
2010-03-28,10.359850404073581
2010-03-29,8.923762824033785
2010-03-30,7.774603675101879
2010-03-31,6.808004304400573
2010-04-01,5.977901712218867
2010-04-04,5.247518888392911
2010-04-05,4.5518208008106225
2010-04-06,6.1537767431363255
2010-04-07,7.574285641666567
2010-04-08,6.654693528288121
2010-04-11,5.780477129825659
2010-04-12,4.992440533406095
2010-04-13,4.380808528378444
2010-04-14,3.8051705690915893
2010-04-15,5.61518250290077
2010-04-18,6.035788540462137
2010-04-19,5.245004974570812
2010-04-20,4.586840779576341
2010-04-21,7.303537044186751
2010-04-22,6.392134090256787
2010-04-25,5.53821539060428
2010-04-26,7.4778965819956245
2010-04-27,7.451175985127242
2010-04-28,6.46589240982204
2010-04-29,5.638776528822495
2010-05-02,6.359478597964369
2010-05-03,10.321383711243257
2010-05-04,15.528989833554183
2010-05-05,24.069444161639588
2010-05-06,26.25623318752208
2010-05-09,22.44654732994395
2010-05-10,19.38426466417876
2010-05-11,17.116028356793795
2010-05-12,15.094312807928581
2010-05-13,21.992577945910384
2010-05-16,19.71725639598473
2010-05-17,17.05175817348477
2010-05-18,22.37298886041251
2010-05-19,25.818120580342573
2010-05-20,23.485594196680943
2010-05-23,20.461520649473492
2010-05-24,25.953441833475043
2010-05-25,22.392381725655408
2010-05-26,21.168821799488448
2010-05-27,18.500359451523664
2010-05-30,15.81313965765112
2010-05-31,18.32391775703422
2010-06-01,16.212506711092487
2010-06-02,14.072938938739687
2010-06-03,18.055527965587775
2010-06-06,21.507932599523482
2010-06-07,19.586147121881233
2010-06-08,17.097319295251776
2010-06-09,15.071573959838098
2010-06-10,13.063255781766516
2010-06-13,11.397263352845826
2010-06-14,10.6110444774455
2010-06-15,9.184683371511978
2010-06-16,8.039147297980293
2010-06-17,7.005658032942798
2010-06-20,6.129742317645098
2010-06-21,5.728206958394911
2010-06-22,12.360323987460934
2010-06-23,10.642736174711361
2010-06-24,9.21298149114345
2010-06-27,8.0080382772615
2010-06-28,12.078824378834959
2010-06-29,10.886415466693494
2010-06-30,9.926955538929622
2010-07-01,8.575029720171583
2010-07-04,7.458966021600082
2010-07-05,6.5899341148895925
2010-07-06,7.440066299995518
2010-07-07,6.443036039600798
2010-07-08,5.59142790857747
2010-07-11,4.856936286208413
2010-07-12,4.243512596872352
2010-07-13,3.6341653332129242
2010-07-14,5.220540996966728
2010-07-15,6.611911248939624
2010-07-18,6.2228844200104465
2010-07-19,7.777437181391317
2010-07-20,6.776141784819316
2010-07-21,6.645075626870933
2010-07-22,5.757102048137435
2010-07-25,6.511827911254911
2010-07-26,5.647402344518857
2010-07-27,5.14672829507853
2010-07-28,4.59276311404291
2010-07-29,3.9733235386858
2010-08-01,3.4480626279349704
2010-08-02,4.436063136111352
2010-08-03,3.8718287023357
2010-08-04,3.36381096586479
2010-08-05,3.566395253453308
2010-08-08,3.1097233518641665
2010-08-09,2.665063849433262
2010-08-10,4.4956472143624255
2010-08-11,5.34015428639172
2010-08-12,4.648328079648755
2010-08-15,4.07107030332848
2010-08-16,3.5543705727789408
2010-08-17,3.092042882758718
2010-08-18,4.951929622932257
2010-08-19,4.52923003239611
2010-08-22,3.9338275049871245
2010-08-23,7.392070836368624
2010-08-24,6.4470225663917535
2010-08-25,5.635854844600697
2010-08-26,4.898284514167564
2010-08-29,4.23199213465357
2010-08-30,5.537308724658645
2010-08-31,4.819777704792047
2010-09-01,4.177751049429977
2010-09-02,3.5786806289215796
2010-09-05,4.810777487483804
2010-09-06,4.180155053850925
2010-09-07,3.777750783806982
2010-09-08,3.278521964831253
2010-09-09,2.861653470213561
2010-09-12,2.491414330035915
2010-09-13,2.163866631413868
2010-09-14,3.2757776100197797
2010-09-15,3.5043331819809764
2010-09-16,3.0149054387970073
