Date,macdh
2010-01-04,0.004877769623040778
2010-01-05,0.02788760073260029
2010-01-06,0.013931452940274688
2010-01-07,0.030491798692813796
2010-01-08,0.008383880854104757
2010-01-11,-0.006327825191353152
2010-01-12,0.01435224694554225
2010-01-13,0.06336783309478744
2010-01-14,0.17335784035795765
2010-01-15,0.22231377239170763
2010-01-18,0.22758982266352007
2010-01-19,0.2740062770676942
2010-01-20,0.3684458428595546
2010-01-21,0.46446451715620085
2010-01-22,0.5977618633720884
2010-01-25,0.41871974801525524
2010-01-26,0.5946650592213483
2010-01-27,0.7623077556586728
2010-01-28,0.9321443762605377
2010-01-29,1.0045362461863612
2010-02-01,0.9074878017483233
2010-02-02,0.5607321285335091
2010-02-03,0.4331142172292996
2010-02-04,0.5249437056416172
2010-02-05,0.549336095039485
2010-02-08,0.4324350845921677
2010-02-09,0.10647169825247484
2010-02-10,-0.06986648570898937
2010-02-11,-0.1924275138282055
2010-02-12,-0.2289999637036763
2010-02-15,-0.31476298325022295
2010-02-16,-0.4399118723380537
2010-02-17,-0.5870081142428158
2010-02-18,-0.7734783499180427
2010-02-19,-0.985037148058029
2010-02-22,-1.0452289694726555
2010-02-23,-0.9499993164093075
2010-02-24,-0.8579640607765241
2010-02-25,-0.6271862866646052
2010-02-26,-0.6911088879034264
2010-03-01,-0.7624609084711635
2010-03-02,-1.2864375345029373
2010-03-03,-1.1083398210326476
2010-03-04,-0.9320947095255707
2010-03-05,-0.8515103308585624
2010-03-08,-0.6963787214370929
2010-03-09,-0.5839561063139443
2010-03-10,-0.5772411169271882
2010-03-11,-0.5238718156731318
2010-03-12,-0.5150327539471913
2010-03-15,-0.46600868949011953
2010-03-16,-0.3579161667273235
2010-03-17,-0.2900840762287809
2010-03-18,-0.14398838021798407
2010-03-19,0.16496634473868868
2010-03-22,0.39801315550827465
2010-03-23,0.38925508501661
2010-03-24,0.48013158268466644
2010-03-25,0.5709762312869863
2010-03-26,0.8041216311622281
2010-03-28,0.8002260362897675
2010-03-29,0.6444680165739137
2010-03-30,0.4115464158380882
2010-03-31,0.12686702986659398
2010-04-01,-0.05614781290261837
2010-04-04,-0.19906148791950246
2010-04-05,-0.33331194556515836
2010-04-06,-0.1979146964343206
2010-04-07,-0.12810849763466328
2010-04-08,-0.08648660867599268
2010-04-11,-0.16881684143830442
2010-04-12,-0.5515822642697797
2010-04-13,-0.4882467551611183
2010-04-14,-0.37988482399578904
2010-04-15,-0.2301529126481614
2010-04-18,-0.07893098599039518
2010-04-19,-0.03162203832864737
2010-04-20,-0.024914620469876567
2010-04-21,0.11933254373226768
2010-04-22,0.20970504739173304
2010-04-25,0.11329372899171672
2010-04-26,0.22966429124593393
2010-04-27,0.24490660659666233
2010-04-28,0.030389459549680326
2010-04-29,-0.11434580578448639
2010-05-02,-0.169899183377583
2010-05-03,-0.03549360786514717
2010-05-04,0.3107365621233037
2010-05-05,0.9654263735255543
2010-05-06,1.4590099532770073
2010-05-09,1.0867416873635092
2010-05-10,0.8035429149687716
2010-05-11,0.567940977676025
2010-05-12,0.36097473951561504
2010-05-13,0.4763366268863567
2010-05-16,0.5274185098073851
2010-05-17,0.6316480197876354
2010-05-18,0.770477958498697
2010-05-19,1.2605261437825521
2010-05-20,1.180818412291447
2010-05-23,1.1821984725385852
2010-05-24,1.1572278653170411
2010-05-25,1.017918582692004
2010-05-26,0.4725198300088299
2010-05-27,0.0706148589100363
2010-05-30,-0.20571014369204627
2010-05-31,-0.22886310741020835
2010-06-01,-0.2764383850739467
2010-06-02,-0.4065303110101509
2010-06-03,-0.32619811621694067
2010-06-06,0.010174017556841445
2010-06-07,0.08775193090169653
2010-06-08,-0.03385409171061518
2010-06-09,-0.36955016976114513
2010-06-10,-0.5837594139330187
2010-06-13,-0.7845107484019567
2010-06-14,-1.023403128103397
2010-06-15,-1.1134539264865548
2010-06-16,-1.1323938268613727
2010-06-17,-1.19889020286401
2010-06-20,-1.252970641728794
2010-06-21,-1.1953999029790856
2010-06-22,-0.8153473976837654
2010-06-23,-0.7158872523805945
2010-06-24,-0.5987123025909296
2010-06-27,-0.471110428490782
2010-06-28,-0.1478733326831757
2010-06-29,-0.0679349296119804
2010-06-30,0.0591880736978373
2010-07-01,-0.055964265220879814
2010-07-04,-0.12617921149336037
2010-07-05,-0.20760800606727803
2010-07-06,-0.255316220317239
2010-07-07,-0.23543568617673546
2010-07-08,-0.29803804486403784
2010-07-11,-0.28156075778566547
2010-07-12,-0.27790491441645815
2010-07-13,-0.16729725966919037
2010-07-14,-0.044146598108510245
2010-07-15,0.1508793736753741
2010-07-18,0.3075871471444496
2010-07-19,0.2980205016578418
2010-07-20,0.2683353476857692
2010-07-21,0.1541836618742914
2010-07-22,0.08681702631931089
2010-07-25,0.09138869734361042
2010-07-26,0.05880129854700698
2010-07-27,0.05768638497334395
2010-07-28,0.0835989802115573
2010-07-29,0.05291954555201872
2010-08-01,-0.08781714518827566
2010-08-02,-0.07396279211164494
2010-08-03,-0.052117422700191006
2010-08-04,-0.03527804859748657
2010-08-05,-0.006005118791233924
2010-08-08,-0.35414834744048485
2010-08-09,-0.18756019771849364
2010-08-10,0.011104944351721747
2010-08-11,0.21535617934926382
2010-08-12,0.32520064342525573
2010-08-15,0.023317935416589372
2010-08-16,0.1156564725650915
2010-08-17,0.11456118794385944
2010-08-18,0.1250695414322066
2010-08-19,0.2303835257589454
2010-08-22,-0.09851745335545611
2010-08-23,0.10575586829371697
2010-08-24,0.2332109423798021
2010-08-25,0.34131353117414304
2010-08-26,0.3277687957796629
