Date,cr
2010-01-04,
2010-01-05,-0.7639879169918141
2010-01-06,-0.831703394539756
2010-01-07,-0.6637937148001493
2010-01-08,-0.5497134320753472
2010-01-11,-0.8718152097374677
2010-01-12,-0.7229191386835606
2010-01-13,-0.6694056746492055
2010-01-14,-0.4882355430374678
2010-01-15,-0.540777566923209
2010-01-18,-0.5070557029404937
2010-01-19,-0.5506232760329433
2010-01-20,-0.497090240405073
2010-01-21,-0.43258962547110025
2010-01-22,-0.32429144588934705
2010-01-25,-0.36467005934341384
2010-01-26,-0.14101292596086168
2010-01-27,-0.1716181450771487
2010-01-28,-0.13420228525334538
2010-01-29,-0.1462082675742259
2010-02-01,-0.13183819834925506
2010-02-02,-0.2778639521324614
2010-02-03,-0.3524624859663414
2010-02-04,-0.25629758181373813
2010-02-05,-0.24720650035647182
2010-02-08,-0.26985468238501553
2010-02-09,-0.33715636884781264
2010-02-10,-0.38020763559376114
2010-02-11,-0.37483983832976625
2010-02-12,-0.3678062457189299
2010-02-15,-0.40471729177505317
2010-02-16,-0.36144338366013956
2010-02-17,-0.4115548621342538
2010-02-18,-0.4875806465917177
2010-02-19,-0.5668246245266493
2010-02-22,-0.6221044638275224
2010-02-23,-0.6095843951190324
2010-02-24,-0.5857051535598992
2010-02-25,-0.5954471573199365
2010-02-26,-0.6651764388679153
2010-03-01,-0.7852677048416573
2010-03-02,-0.8273924675528859
2010-03-03,-0.8816878945963911
2010-03-04,-0.9016973340628305
2010-03-05,-0.9553116612942782
2010-03-08,-0.9785582274134598
2010-03-09,-0.9889908709141126
2010-03-10,-0.9707226607135135
2010-03-11,-0.9645389106840153
2010-03-12,-1.0801464487979655
2010-03-15,-1.108942407469751
2010-03-16,-1.1126281160815243
2010-03-17,-1.085573185341751
2010-03-18,-1.0202722935048478
2010-03-19,-0.9608559226921686
2010-03-22,-0.9626491308223883
2010-03-23,-0.998086547318172
2010-03-24,-0.9901086387632251
2010-03-25,-0.9576769899215769
2010-03-26,-0.8377181778563989
2010-03-28,-0.8296192073650849
2010-03-29,-0.8462164678430298
2010-03-30,-0.9159853457230112
2010-03-31,-0.9665541282710627
2010-04-01,-1.0257204634103931
2010-04-04,-1.0184930326040877
2010-04-05,-0.9696689400585617
2010-04-06,-0.9059083374737339
2010-04-07,-0.9443044373077446
2010-04-08,-0.9336162593009377
2010-04-11,-0.9620237774743672
2010-04-12,-0.9632988045792985
2010-04-13,-0.9845558957743754
2010-04-14,-0.9443577595692535
2010-04-15,-0.9071789898830873
2010-04-18,-0.8623182240430576
2010-04-19,-0.8952598635434478
2010-04-20,-0.9046558615010991
2010-04-21,-0.8722182905687018
2010-04-22,-0.9084073213834472
2010-04-25,-1.014929191782551
2010-04-26,-1.023014186923992
2010-04-27,-0.9491914518749172
2010-04-28,-1.0032474820386599
2010-04-29,-1.0855365331171858
2010-05-02,-1.1486146659872865
2010-05-03,-1.0952622436931747
2010-05-04,-0.9266687249509248
2010-05-05,-0.737085780261068
2010-05-06,-0.5605427943074922
2010-05-09,-0.6199905640099701
2010-05-10,-0.7089605679576021
2010-05-11,-0.6820907466394369
2010-05-12,-0.7468376797723827
2010-05-13,-0.6812855074837932
2010-05-16,-0.6483164908511176
2010-05-17,-0.5999632817562796
2010-05-18,-0.47840727301163355
2010-05-19,-0.38152550133103647
2010-05-20,-0.2898979046391562
2010-05-23,-0.3937886007375215
2010-05-24,-0.29557054331836863
2010-05-25,-0.3711115685897466
2010-05-26,-0.32019042116548796
2010-05-27,-0.4554619173694712
2010-05-30,-0.5294896944452825
2010-05-31,-0.37981169832650485
2010-06-01,-0.38872276918436693
2010-06-02,-0.5031417505821991
2010-06-03,-0.33809118769291857
2010-06-06,-0.24304625853370443
2010-06-07,-0.1918158430815561
2010-06-08,-0.31391302413188077
2010-06-09,-0.4404288339553493
2010-06-10,-0.6833442841299996
2010-06-13,-0.8174772024352737
2010-06-14,-0.7275058723395396
2010-06-15,-0.6737078611544257
2010-06-16,-0.7178332869621716
2010-06-17,-0.6972303274287508
2010-06-20,-0.8085125472841322
2010-06-21,-0.8439802178998694
2010-06-22,-0.7600694402395075
2010-06-23,-0.8730640244513826
2010-06-24,-0.9798815852853028
2010-06-27,-1.0635563043491314
2010-06-28,-0.959794818664741
2010-06-29,-1.0391814300071227
2010-06-30,-0.9099404064254838
2010-07-01,-1.0176354469946076
2010-07-04,-0.9817411659001268
2010-07-05,-0.9248134988083054
2010-07-06,-1.0027339015741201
2010-07-07,-1.030469044396994
2010-07-08,-0.9871225266860383
2010-07-11,-1.077438716718366
2010-07-12,-1.121469367261319
2010-07-13,-1.1574090748201944
2010-07-14,-1.0744276689033492
2010-07-15,-1.0511288274522381
2010-07-18,-0.9494395834277437
2010-07-19,-0.902241064730482
2010-07-20,-0.9606320806353621
2010-07-21,-0.9056334463599911
2010-07-22,-0.93306708691589
2010-07-25,-0.8947119145529796
2010-07-26,-0.8695212400091549
2010-07-27,-0.8619442877449521
2010-07-28,-0.9512343646744079
2010-07-29,-0.9634990732823346
2010-08-01,-0.9846071422025794
2010-08-02,-0.9517015336781719
2010-08-03,-0.9970889670731308
2010-08-04,-1.0422027585596538
2010-08-05,-1.0805302462419735
2010-08-08,-1.0059363194880648
2010-08-09,-0.9101866991848673
2010-08-10,-0.8798944154295366
2010-08-11,-0.8584822220194696
2010-08-12,-0.8477768356833808
2010-08-15,-0.8184877570258096
2010-08-16,-0.8216933610631043
2010-08-17,-0.8291401761755317
2010-08-18,-0.8080292536875522
2010-08-19,-0.8206298124924881
