Date,boll_ub
2010-01-04,
2010-01-05,-1.0753850434540546
2010-01-06,-1.0831535374713808
2010-01-07,-1.0806010881938517
2010-01-08,-1.0836847497826532
2010-01-11,-1.0860020556916925
2010-01-12,-1.085567377319334
2010-01-13,-1.080320292045719
2010-01-14,-1.0637277085226946
2010-01-15,-1.054622830657864
2010-01-18,-1.0493338502462743
2010-01-19,-1.0406230684927698
2010-01-20,-1.0271137478497934
2010-01-21,-1.0124635683650907
2010-01-22,-0.9938813815881775
2010-01-25,-0.9921415659031111
2010-01-26,-0.9742099421770849
2010-01-27,-0.9546614317603778
2010-01-28,-0.9330647366062854
2010-01-29,-0.9148412713570677
2010-02-01,-0.9014684367624035
2010-02-02,-0.8962011112668773
2010-02-03,-0.8889341425815238
2010-02-04,-0.8753190647817382
2010-02-05,-0.8648910103221479
2010-02-08,-0.8604394265772958
2010-02-09,-0.8627073764356826
2010-02-10,-0.8647256526412721
2010-02-11,-0.8655260907951229
2010-02-12,-0.867205727466812
2010-02-15,-0.8726530659762332
2010-02-16,-0.8790002995024317
2010-02-17,-0.8839291966697524
2010-02-18,-0.8865831858224656
2010-02-19,-0.8844376594355648
2010-02-22,-0.8903146915378218
2010-02-23,-0.8894082368090472
2010-02-24,-0.8891391567864584
2010-02-25,-0.8925838561993399
2010-02-26,-0.8957788533662318
2010-03-01,-0.8966940017331619
2010-03-02,-0.8783847488814217
2010-03-03,-0.8794620276157343
2010-03-04,-0.8881553578015448
2010-03-05,-0.898509091886252
2010-03-08,-0.9081579516001863
2010-03-09,-0.9117384975670875
2010-03-10,-0.9168422671515636
2010-03-11,-0.9237757155865979
2010-03-12,-0.9337845575813928
2010-03-15,-0.9437489706407174
2010-03-16,-0.9531900686853024
2010-03-17,-0.961005452982615
2010-03-18,-0.966496847856012
2010-03-19,-0.9677478420226234
2010-03-22,-0.9693207346810131
2010-03-23,-0.9757935614832988
2010-03-24,-0.9813395230323364
2010-03-25,-0.9936223799018393
2010-03-26,-0.9880526963038389
2010-03-28,-0.9856534370446111
2010-03-29,-0.9902909752814586
2010-03-30,-0.9908447500084847
2010-03-31,-0.9913142826822162
2010-04-01,-0.991119893294476
2010-04-04,-0.9911932696732555
2010-04-05,-0.9904555856647927
2010-04-06,-0.9902827390187854
2010-04-07,-0.990260755902838
2010-04-08,-0.9906111432501655
2010-04-11,-0.9901443589289344
2010-04-12,-0.9804051924015637
2010-04-13,-0.9793861740241288
2010-04-14,-0.978999607185137
2010-04-15,-0.9818811361530134
2010-04-18,-0.9860589019881459
2010-04-19,-0.9872866854530742
2010-04-20,-0.9907840463304904
2010-04-21,-0.9961309087698994
2010-04-22,-1.0113317217906759
2010-04-25,-1.0231715035041908
2010-04-26,-1.0304037114744955
2010-04-27,-1.0345000045380714
2010-04-28,-1.0340560069297882
2010-04-29,-1.033918015137385
2010-05-02,-1.0340547023734972
2010-05-03,-1.0342753285318471
2010-05-04,-1.0334553388778025
2010-05-05,-1.0084469541513292
2010-05-06,-0.982523317391146
2010-05-09,-0.980783910363616
2010-05-10,-0.9813405487777833
2010-05-11,-0.9800103568169652
2010-05-12,-0.9791316952482738
2010-05-13,-0.973351216849107
2010-05-16,-0.9680184231062128
2010-05-17,-0.9603251559113114
2010-05-18,-0.9503008379820902
2010-05-19,-0.9229818092690977
2010-05-20,-0.9121088993798472
2010-05-23,-0.8995839247890063
2010-05-24,-0.8863161099988844
2010-05-25,-0.8765091811259288
2010-05-26,-0.8788485593434755
2010-05-27,-0.8835052084215057
2010-05-30,-0.8899606607811612
2010-05-31,-0.8930349039662003
2010-06-01,-0.8930811543216062
2010-06-02,-0.8942984986238477
2010-06-03,-0.895981147774355
2010-06-06,-0.8893754206443601
2010-06-07,-0.8878595516463245
2010-06-08,-0.8912751581558086
2010-06-09,-0.898273092605922
2010-06-10,-0.8992069408296577
2010-06-13,-0.8989968317582048
2010-06-14,-0.8949321963675132
2010-06-15,-0.8921576956744023
2010-06-16,-0.9008480549157448
2010-06-17,-0.8997757443391218
2010-06-20,-0.902238767988544
2010-06-21,-0.9092400816479776
2010-06-22,-0.9186843790499111
2010-06-23,-0.9188700558071448
2010-06-24,-0.9193541129563881
2010-06-27,-0.9202316109355074
2010-06-28,-0.9237456177073601
2010-06-29,-0.9276721274792686
2010-06-30,-0.9296602022843863
2010-07-01,-0.9358386339705445
2010-07-04,-0.9567848817298724
2010-07-05,-0.9760555958169915
2010-07-06,-0.9911619216421721
2010-07-07,-0.9965754018296384
2010-07-08,-1.0014968159896738
2010-07-11,-1.0049405715704387
2010-07-12,-1.004866380040352
2010-07-13,-1.0062848283015184
2010-07-14,-1.007656570600384
2010-07-15,-1.0067506937989987
2010-07-18,-1.00546984963299
2010-07-19,-1.0054369799592053
2010-07-20,-1.01040300017689
2010-07-21,-1.010562841902771
2010-07-22,-1.011120750287899
2010-07-25,-1.0123196598033384
2010-07-26,-1.0219703888817577
2010-07-27,-1.0263650106380193
2010-07-28,-1.0356456256496676
2010-07-29,-1.0366166000758277
2010-08-01,-1.034983689224397
2010-08-02,-1.0350495000460884
2010-08-03,-1.0350644621421794
2010-08-04,-1.0354947428230195
2010-08-05,-1.0353783345117105
2010-08-08,-1.0235397370394352
2010-08-09,-1.023591530976536
2010-08-10,-1.0241600234777324
2010-08-11,-1.0243858716473717
2010-08-12,-1.0276837896850795
2010-08-15,-1.0302711139830818
2010-08-16,-1.0330477985391553
2010-08-17,-1.0358463348771632
2010-08-18,-1.0367551813415223
2010-08-19,-1.0367412354408279
2010-08-22,-1.0345441198231997
