Date,boll_lb
2010-01-04,
2010-01-05,-1.0279062171240254
2010-01-06,-1.0160384643343685
2010-01-07,-1.0117592102970105
2010-01-08,-1.0081607620421928
2010-01-11,-1.0059602467245836
2010-01-12,-1.0040565233356424
2010-01-13,-1.0048792111530644
2010-01-14,-1.0133049668081051
2010-01-15,-1.0154073324376618
2010-01-18,-1.015059428224772
2010-01-19,-1.0168295558087628
2010-01-20,-1.0216110138605077
2010-01-21,-1.0267178260694627
2010-01-22,-1.0340838816061286
2010-01-25,-1.0310856026252344
2010-01-26,-1.037781432112799
2010-01-27,-1.0450922009589891
2010-01-28,-1.05330353258112
2010-01-29,-1.0586576032289543
2010-02-01,-1.0524363990223915
2010-02-02,-1.04462624787092
2010-02-03,-1.0353548544801154
2010-02-04,-1.0296739316375154
2010-02-05,-1.0191783450363265
2010-02-08,-1.00363963997491
2010-02-09,-0.9858181635804084
2010-02-10,-0.9684144157192254
2010-02-11,-0.9548517245427107
2010-02-12,-0.939356570446897
2010-02-15,-0.9206196474723715
2010-02-16,-0.9037749974793207
2010-02-17,-0.89207913671829
2010-02-18,-0.886539698726812
2010-02-19,-0.8911030651376601
2010-02-22,-0.8811306724035654
2010-02-23,-0.8841527185741102
2010-02-24,-0.8889470974272518
2010-02-25,-0.8898326586298344
2010-02-26,-0.89605765630167
2010-03-01,-0.9044084048776757
2010-03-02,-0.9386083115273341
2010-03-03,-0.9464336396354789
2010-03-04,-0.9502861554995085
2010-03-05,-0.9541844895923753
2010-03-08,-0.9562535103474251
2010-03-09,-0.9613462461803026
2010-03-10,-0.9677669688419728
2010-03-11,-0.9721758770184977
2010-03-12,-0.9754053869959785
2010-03-15,-0.9775945295249848
2010-03-16,-0.9783659319122365
2010-03-17,-0.9801425144758049
2010-03-18,-0.9811167971162924
2010-03-19,-0.9809852477444482
2010-03-22,-0.9805749017680437
2010-03-23,-0.9791712033757975
2010-03-24,-0.9767902844355788
2010-03-25,-0.9687539330154058
2010-03-26,-0.9723657594835133
2010-03-28,-0.9734604024401967
2010-03-29,-0.9594983488511514
2010-03-30,-0.9599827091912653
2010-03-31,-0.9628238714097432
2010-04-01,-0.9649234375210558
2010-04-04,-0.9683567484530806
2010-04-05,-0.9732271136274945
2010-04-06,-0.9721091549672036
2010-04-07,-0.9715524231459159
2010-04-08,-0.9697181146690351
2010-04-11,-0.9709826087003207
2010-04-12,-0.9892650852820152
2010-04-13,-0.9927003714984228
2010-04-14,-0.9961711781272746
2010-04-15,-0.9986587409726445
2010-04-18,-0.9997168000921423
2010-04-19,-1.0024561589640053
2010-04-20,-1.0052151576861246
2010-04-21,-1.0045324358662682
2010-04-22,-0.9966790406172035
2010-04-25,-0.9931188652137906
2010-04-26,-0.9894053600396966
2010-04-27,-0.988185885746252
2010-04-28,-0.9936648259306007
2010-04-29,-0.9990855732048901
2010-05-02,-1.0032192390358472
2010-05-03,-1.003515575406302
2010-05-04,-1.0040041743803325
2010-05-05,-1.0224329518611996
2010-05-06,-1.0393346575284785
2010-05-09,-1.0385185049230317
2010-05-10,-1.028909576038976
2010-05-11,-1.0263691166577744
2010-05-12,-1.0244246285849827
2010-05-13,-1.024012722243723
2010-05-16,-1.023591219997959
2010-05-17,-1.0227701996802478
2010-05-18,-1.0218514622188626
2010-05-19,-1.0340625937625683
2010-05-20,-1.033736268948921
2010-05-23,-1.0302481235823586
2010-05-24,-1.0297050486249506
2010-05-25,-1.0251807798942514
2010-05-26,-1.0102866031952464
2010-05-27,-0.9927757604525435
2010-05-30,-0.9736207263832438
2010-05-31,-0.9579679181836002
2010-06-01,-0.9504841019631709
2010-06-02,-0.9512894147958149
2010-06-03,-0.9509915490297407
2010-06-06,-0.9438148723134788
2010-06-07,-0.9332017142561626
2010-06-08,-0.9195282220466562
2010-06-09,-0.9057479975378202
2010-06-10,-0.9034074411469505
2010-06-13,-0.9038690898986018
2010-06-14,-0.9128648089379403
2010-06-15,-0.9221217990116679
2010-06-16,-0.9270664245209616
2010-06-17,-0.9390530439978095
2010-06-20,-0.9506793473689589
2010-06-21,-0.957787153268791
2010-06-22,-0.9564644394637561
2010-06-23,-0.9617060854630669
2010-06-24,-0.9661574333019358
2010-06-27,-0.9699034508934999
2010-06-28,-0.9698712986851832
2010-06-29,-0.971406886595197
2010-06-30,-0.9722129188628956
2010-07-01,-0.9748182131967713
2010-07-04,-0.966558403304628
2010-07-05,-0.959024238461896
2010-07-06,-0.9537130474390483
2010-07-07,-0.9541916537357031
2010-07-08,-0.9568334450596999
2010-07-11,-0.959128303940142
2010-07-12,-0.9633615032188869
2010-07-13,-0.9648329003459511
2010-07-14,-0.9655712982793431
2010-07-15,-0.9650647860156732
2010-07-18,-0.9631673326540507
2010-07-19,-0.9622159745395085
2010-07-20,-0.9611069272240782
2010-07-21,-0.9635892766883452
2010-07-22,-0.9658113111354616
2010-07-25,-0.966883557318302
2010-07-26,-0.9631868039480076
2010-07-27,-0.9625418006493737
2010-07-28,-0.9573616989487036
2010-07-29,-0.9586246885392681
2010-08-01,-0.9648352480599048
2010-08-02,-0.9666943316058333
2010-08-03,-0.968318557735518
2010-08-04,-0.9701282195221421
2010-08-05,-0.9706763204251261
2010-08-08,-0.991221520993234
2010-08-09,-0.9918908932195589
2010-08-10,-0.9921414141795691
2010-08-11,-0.9921126492994539
2010-08-12,-0.9908645597350869
2010-08-15,-0.9973754256339111
2010-08-16,-0.9970012025316213
2010-08-17,-0.9973725914816759
2010-08-18,-0.9980355624553284
2010-08-19,-0.9980362677236387
2010-08-22,-1.0081002821282476
