Date,Adj Close
2011-03-21,1.6637
2011-03-22,1.6636
2011-03-23,1.6593
2011-03-24,1.66
2011-03-25,1.6575
2011-03-27,1.6499
2011-03-28,1.66
2011-03-29,1.6559
2011-03-30,1.6285
2011-03-31,1.6272
2011-04-03,1.612
2011-04-04,1.6052
2011-04-05,1.607
2011-04-06,1.6147
2011-04-07,1.5929
2011-04-10,1.5703
2011-04-11,1.5771
2011-04-12,1.591
2011-04-13,1.592
2011-04-14,
2011-04-17,1.5686
2011-04-18,1.589
2011-04-19,1.5785
2011-04-20,1.569
2011-04-21,1.569
2011-04-24,1.5613
2011-04-25,1.575
2011-04-26,1.5645
2011-04-27,1.5665
2011-04-28,1.5863
2011-05-01,1.5633
2011-05-02,1.5765
2011-05-03,1.5875
2011-05-04,1.605
2011-05-05,1.625
2011-05-08,1.5994
2011-05-09,1.6155
2011-05-10,1.607
2011-05-11,1.6199
2011-05-12,1.6165
2011-05-15,1.6356
2011-05-16,1.6308
2011-05-17,1.618
2011-05-18,1.6113
2011-05-19,1.6159
2011-05-22,1.6113
2011-05-23,1.6373
2011-05-24,1.6285
2011-05-25,1.6265
2011-05-26,1.6223
2011-05-29,1.5943
2011-05-30,1.593
2011-05-31,1.5787
2011-06-01,1.592
2011-06-02,1.5775
2011-06-05,1.5688
2011-06-06,1.5802
2011-06-07,1.577
2011-06-08,1.5815
2011-06-09,1.5869
2011-06-12,1.5948
2011-06-13,1.589
2011-06-14,1.5791
2011-06-15,1.597
2011-06-16,1.6061
2011-06-19,1.5898
2011-06-20,1.594
2011-06-21,1.5875
2011-06-22,1.587
2011-06-23,1.5905
2011-06-26,1.59
2011-06-27,1.595
2011-06-28,1.578
2011-06-29,1.5697
2011-06-30,1.5614
2011-07-03,1.5488
2011-07-04,1.5515
2011-07-05,1.5637
2011-07-06,1.5692
2011-07-07,1.5545
2011-07-10,1.5618
2011-07-11,1.58
2011-07-12,1.5747
2011-07-13,1.5677
2011-07-14,1.5765
2011-07-17,1.568
2011-07-18,1.575
2011-07-19,1.565
2011-07-20,1.5615
2011-07-21,1.5523
2011-07-24,1.5539
2011-07-25,1.5441
2011-07-26,1.5337
2011-07-27,1.5631
2011-07-28,1.5628
2011-07-31,1.5465
2011-08-01,1.5578
2011-08-02,1.5633
2011-08-03,1.563
2011-08-04,1.5768
2011-08-07,1.593
2011-08-08,1.5969
2011-08-09,1.6282
2011-08-10,1.6219
2011-08-11,1.6233
2011-08-14,1.6114
2011-08-15,1.5887
2011-08-16,1.5841
2011-08-17,1.5785
2011-08-18,1.607
2011-08-21,1.5953
2011-08-22,1.6025
2011-08-23,1.5973
2011-08-24,1.6073
2011-08-25,1.609
2011-08-28,1.6
2011-08-29,1.5943
2011-08-30,1.5865
2011-08-31,1.5825
2011-09-01,1.599
2011-09-04,1.6298
2011-09-05,1.6493
2011-09-06,1.66
2011-09-07,1.6535
2011-09-08,1.6516
2011-09-11,1.6749
2011-09-12,1.7035
2011-09-13,1.7115
2011-09-14,1.724
2011-09-15,1.7091
2011-09-18,1.7105
2011-09-19,1.7846
2011-09-20,1.7916
2011-09-21,1.8339
2011-09-22,1.8768
2011-09-25,1.8558
2011-09-26,1.846
2011-09-27,1.802
2011-09-28,1.8177
2011-09-29,1.8277
2011-10-02,1.847
2011-10-03,1.8877
2011-10-04,1.8501
2011-10-05,1.8337
2011-10-06,1.8067
2011-10-09,1.7623
2011-10-10,1.7469
2011-10-11,1.7388
2011-10-12,1.774
2011-10-13,1.7431
2011-10-16,1.7307
2011-10-17,1.767
2011-10-18,1.7575
2011-10-19,1.7613
2011-10-20,1.787
2011-10-23,1.7676
2011-10-24,1.7493
2011-10-25,1.7615
2011-10-26,1.758
2011-10-27,1.709
2011-10-31,1.6871
2011-11-01,1.6924
2011-11-02,1.742
2011-11-03,1.7333
2011-11-04,1.7315
2011-11-07,1.749
2011-11-08,1.7499
2011-11-09,1.7395
2011-11-10,1.7566
2011-11-11,1.76
2011-11-14,1.7399
2011-11-15,1.7595
2011-11-16,1.7693
2011-11-17,1.7703
2011-11-18,1.7645
2011-11-21,1.7778
2011-11-22,1.8042
2011-11-23,1.8117
2011-11-24,1.8593
2011-11-25,1.8755
2011-11-28,1.8803
2011-11-29,1.8547
2011-11-30,1.8415
2011-12-01,1.808
2011-12-02,1.799
2011-12-05,1.7952
2011-12-06,1.7796
2011-12-07,1.791
2011-12-08,1.7987
2011-12-09,1.817
2011-12-12,1.7973
2011-12-13,1.8092
2011-12-14,1.8577
2011-12-15,1.8763
2011-12-16,1.8588
2011-12-19,1.853
2011-12-20,1.8665
2011-12-21,1.8418
2011-12-22,1.8553
2011-12-23,1.851
2011-12-26,1.858
2011-12-27,1.8575
2011-12-28,1.86
2011-12-29,1.8767
2011-12-30,1.8652
2012-01-02,1.8623
2012-01-03,1.8701
2012-01-04,1.8345
2012-01-05,1.8184
2012-01-06,1.843
2012-01-09,1.8476
2012-01-10,1.841
2012-01-11,1.799
2012-01-12,1.8035
2012-01-13,1.7809
2012-01-16,1.7908
2012-01-17,1.7793
2012-01-18,1.7795
2012-01-19,1.7683
2012-01-20,1.7555
2012-01-23,1.7601
2012-01-24,1.752
2012-01-25,1.7584
2012-01-26,1.76
2012-01-27,1.8525
2012-01-30,1.738
2012-01-31,1.7463
2012-02-01,1.7448
2012-02-02,1.7317
2012-02-03,1.7181
2012-02-06,1.7153
2012-02-07,1.7237
2012-02-08,1.7247
2012-02-09,1.7184
2012-02-10,1.7155
2012-02-13,1.7188
2012-02-14,1.7152
2012-02-15,1.7161
2012-02-16,1.7277
2012-02-17,1.7155
2012-02-20,1.7093
2012-02-21,1.7172
2012-02-22,1.7145
2012-02-23,1.7051
2012-02-24,1.7128
2012-02-27,1.7066
2012-02-28,1.7059
2012-02-29,1.6977
2012-03-01,1.7166
2012-03-02,1.7135
2012-03-05,1.7293
2012-03-06,1.7378
2012-03-07,1.7593
2012-03-08,1.7658
2012-03-09,1.7613
2012-03-12,1.7891
2012-03-13,1.7988
2012-03-14,1.7913
2012-03-15,1.8034
2012-03-16,1.7994
2012-03-19,1.7975
2012-03-20,1.8207
2012-03-21,1.8141
2012-03-22,1.8192
2012-03-23,1.8181
2012-03-25,1.8093
2012-03-26,1.8171
2012-03-27,1.8212
2012-03-28,1.8234
2012-03-29,1.8208
2012-04-01,1.8257
2012-04-02,1.8328
2012-04-03,1.8292
2012-04-04,1.8275
2012-04-05,1.8229
2012-04-08,1.8219
2012-04-09,1.819
2012-04-10,1.8325
2012-04-11,1.8346
2012-04-12,1.8262
2012-04-15,1.8374
2012-04-16,1.8457
2012-04-17,1.8584
2012-04-18,1.8777
2012-04-19,1.8795
2012-04-22,1.8718
2012-04-23,1.8798
2012-04-24,1.8793
2012-04-25,1.8788
2012-04-26,1.8838
2012-04-29,1.886
2012-04-30,1.9058
2012-05-01,1.9064
2012-05-02,1.9222
2012-05-03,1.9098
2012-05-06,1.9269
2012-05-07,1.9188
2012-05-08,1.9379
2012-05-09,1.9695
2012-05-10,1.952
2012-05-13,1.9652
2012-05-14,1.9926
2012-05-15,1.9999
2012-05-16,1.9994
2012-05-17,2.0077
2012-05-20,2.022
2012-05-21,2.0323
2012-05-22,2.0873
2012-05-23,2.0271
2012-05-24,2.0274
2012-05-27,1.9847
2012-05-28,1.9819
2012-05-29,1.992
2012-05-30,2.0149
2012-05-31,2.0253
2012-06-03,2.0388
2012-06-04,2.0529
2012-06-05,2.0215
2012-06-06,2.0316
2012-06-07,2.0296
2012-06-10,2.022
2012-06-11,2.0637
2012-06-12,2.0668
2012-06-13,2.0709
2012-06-14,2.0578
2012-06-17,2.0482
2012-06-18,2.0601
2012-06-19,2.0279
2012-06-20,2.0225
2012-06-21,2.0622
2012-06-24,2.066
2012-06-25,2.0603
2012-06-26,2.0747
2012-06-27,2.0745
2012-06-28,2.0768
2012-07-01,2.0087
2012-07-02,1.9846
2012-07-03,2.0084
2012-07-04,2.0263
2012-07-05,2.0187
2012-07-08,2.0276
2012-07-09,2.0314
2012-07-10,2.0325
2012-07-11,2.0352
2012-07-12,2.0367
2012-07-15,2.0373
2012-07-16,2.0341
2012-07-17,2.0206
2012-07-18,2.0185
2012-07-19,2.0112
2012-07-22,2.0229
2012-07-23,2.0364
2012-07-24,2.0455
2012-07-25,2.0327
2012-07-26,2.0201
2012-07-29,2.0209
2012-07-30,2.0403
2012-07-31,2.0567
2012-08-01,2.0421
2012-08-02,2.0484
2012-08-05,2.027
2012-08-06,2.0285
2012-08-07,2.0271
2012-08-08,2.0211
2012-08-09,2.0171
2012-08-12,2.0139
2012-08-13,2.0197
2012-08-14,2.0258
2012-08-15,2.0236
2012-08-16,2.0151
2012-08-19,2.0145
2012-08-20,2.0143
2012-08-21,2.0109
2012-08-22,2.0153
2012-08-23,2.0228
2012-08-26,2.0231
2012-08-27,2.031
2012-08-28,2.0409
2012-08-29,2.047
2012-08-30,2.0455
