Date,cci
2010-01-04,
2010-01-05,66.6666666666632
2010-01-06,60.36363636362641
2010-01-07,133.33333333332857
2010-01-08,106.53303637713326
2010-01-11,-54.34243176178858
2010-01-12,72.57656645124737
2010-01-13,122.55257432922232
2010-01-14,207.11843332296922
2010-01-15,150.4054233683332
2010-01-18,137.01355159800696
2010-01-19,117.6975139047107
2010-01-20,141.13029192058914
2010-01-21,157.45352340800466
2010-01-22,176.8077986323283
2010-01-25,124.29650585367216
2010-01-26,184.52103221141726
2010-01-27,148.9541145901369
2010-01-28,142.5871029836378
2010-01-29,129.2171975452952
2010-02-01,113.67794310312507
2010-02-02,55.98491180693939
2010-02-03,39.766637270197926
2010-02-04,84.05413656253141
2010-02-05,95.29618602645664
2010-02-08,88.09152366094598
2010-02-09,32.940736586276486
2010-02-10,-10.819476890662125
2010-02-11,-19.246320556366634
2010-02-12,-6.336691487811831
2010-02-15,-32.578674810785685
2010-02-16,-73.43059534119647
2010-02-17,-100.67564783916723
2010-02-18,-164.8780396347798
2010-02-19,-184.012027043471
2010-02-22,-185.88134763942784
2010-02-23,-112.06901734451792
2010-02-24,-76.64103188688358
2010-02-25,-34.394295156102004
2010-02-26,-69.07943578322529
2010-03-01,-117.753651796292
2010-03-02,-193.5082985855627
2010-03-03,-111.17647058823643
2010-03-04,-98.13706768512694
2010-03-05,-98.10989116825608
2010-03-08,-89.75937813878525
2010-03-09,-61.3748977726488
2010-03-10,-103.5469053369339
2010-03-11,-103.47335157933833
2010-03-12,-110.47292846792386
2010-03-15,-102.24750499002113
2010-03-16,-86.46737244012608
2010-03-17,-78.77277312919273
2010-03-18,-22.628344642174532
2010-03-19,119.6837711537556
2010-03-22,132.1839080459751
2010-03-23,45.15758489482166
2010-03-24,54.962054874487194
2010-03-25,101.8507301971852
2010-03-26,181.65577342047854
2010-03-28,131.90189903616698
2010-03-29,43.89942800707747
2010-03-30,-4.991198094646933
2010-03-31,-62.72401433691923
2010-04-01,-103.08955317415845
2010-04-04,-114.9512997084213
2010-04-05,-122.46565338445481
2010-04-06,-78.93007977475574
2010-04-07,-50.321581009182154
2010-04-08,-34.75927387529862
2010-04-11,-82.11126483042194
2010-04-12,-132.20786545659863
2010-04-13,-108.92583795196697
2010-04-14,-100.05418292154461
2010-04-15,-61.807796882034424
2010-04-18,-11.534236543397478
2010-04-19,-62.35964332893443
2010-04-20,-70.78782826178053
2010-04-21,14.628795751063803
2010-04-22,37.38955823292595
2010-04-25,-60.86137027613317
2010-04-26,7.918739635153688
2010-04-27,82.44017526120513
2010-04-28,-111.39430284857863
2010-04-29,-207.81049935979703
2010-05-02,-162.2734604801221
2010-05-03,-49.698319873758535
2010-05-04,161.25000000000026
2010-05-05,293.52463861572573
2010-05-06,262.74429690160207
2010-05-09,102.52236180282033
2010-05-10,17.13901813929229
2010-05-11,24.389843986981585
2010-05-12,-3.6187946816331085
2010-05-13,49.27079687317723
2010-05-16,63.04710965482953
2010-05-17,61.807977458022684
2010-05-18,99.19464491161963
2010-05-19,149.35777915889804
2010-05-20,145.23790736210884
2010-05-23,90.10585144349783
2010-05-24,118.40067196264327
2010-05-25,56.122114529194
2010-05-26,46.139976275207324
2010-05-27,-20.422890957639225
2010-05-30,-55.500369323247575
2010-05-31,21.657041136053884
2010-06-01,6.2349771264623435
2010-06-02,-67.99189960547376
2010-06-03,19.89339893398822
2010-06-06,59.04910702944293
2010-06-07,80.69341781062857
2010-06-08,0.9827319949445267
2010-06-09,-38.137185321255515
2010-06-10,-122.56183591165262
2010-06-13,-115.17705141300843
2010-06-14,-103.30573895945903
2010-06-15,-119.00057273768718
2010-06-16,-111.47817074750617
2010-06-17,-117.47350674373844
2010-06-20,-119.71214821236536
2010-06-21,-100.19671372367505
2010-06-22,-32.66474771934699
2010-06-23,-48.766175142944014
2010-06-24,-51.83015521947954
2010-06-27,-56.187200494667046
2010-06-28,31.12601708022291
2010-06-29,83.3459595959603
2010-06-30,152.6144962166477
2010-07-01,-21.61889071938438
2010-07-04,-93.46466541588272
2010-07-05,-85.05543237250602
2010-07-06,-58.16177500349949
2010-07-07,-89.08389841776152
2010-07-08,-124.753733714648
2010-07-11,-116.33797720282101
2010-07-12,-106.48863902553059
2010-07-13,-82.15835663998206
2010-07-14,-39.34924639368409
2010-07-15,-7.203144872238302
2010-07-18,43.06853582554653
2010-07-19,77.57111828093305
2010-07-20,17.29892394674939
2010-07-21,24.423011844336177
2010-07-22,-85.4282294047196
2010-07-25,-32.89024277669781
2010-07-26,-48.05280528052698
2010-07-27,-18.995518467005617
2010-07-28,-12.37164296998233
2010-07-29,-90.22497298359548
2010-08-01,-164.04853128991027
2010-08-02,-112.15458434501052
2010-08-03,-82.18989898990009
2010-08-04,-96.19736598033718
2010-08-05,-76.21682549441297
2010-08-08,-176.53753556576538
2010-08-09,-52.84581706306923
2010-08-10,37.30936819172298
2010-08-11,142.8166016317841
2010-08-12,94.74893714810928
2010-08-15,-35.488937905220276
2010-08-16,-30.630827904597595
2010-08-17,-63.6770930112511
2010-08-18,-17.129023815756856
2010-08-19,41.04980101107381
2010-08-22,-134.42725060827908
2010-08-23,124.1984769850104
2010-08-24,88.42213415529065
2010-08-25,43.08062575210329
2010-08-26,-2.0946189960318606
2010-08-29,-192.51379038613274
