Date,cci_20
2010-01-04,
2010-01-05,0.503059514891345
2010-01-06,0.4456242363598598
2010-01-07,1.1105480378198782
2010-01-08,0.866334945640396
2010-01-11,-0.5996150620868814
2010-01-12,0.5569124592532364
2010-01-13,1.0123102273680815
2010-01-14,1.782902058922505
2010-01-15,1.2661145191998995
2010-01-18,1.14408339318484
2010-01-19,0.9680693250778505
2010-01-20,1.1815964806525274
2010-01-21,1.330339117438189
2010-01-22,1.5266439584430636
2010-01-25,1.0707575922009582
2010-01-26,1.6938942304026408
2010-01-27,1.4468479373215208
2010-01-28,1.41113234231017
2010-01-29,1.2885315527734071
2010-02-01,1.1308017025591781
2010-02-02,0.6459308565206757
2010-02-03,0.5141191570084694
2010-02-04,0.8088213668641209
2010-02-05,0.8321467867074617
2010-02-08,0.728774220989215
2010-02-09,0.42513907416047053
2010-02-10,0.23944820405253534
2010-02-11,0.2164387425533861
2010-02-12,0.30835279146086814
2010-02-15,0.20020766445171895
2010-02-16,-0.03385849724522016
2010-02-17,-0.3909172889451935
2010-02-18,-1.170945997626056
2010-02-19,-1.602361204215574
2010-02-22,-2.1253034181578747
2010-02-23,-1.409310830100414
2010-02-24,-1.049259557454369
2010-02-25,-0.6575232358421815
2010-02-26,-0.9701856183686777
2010-03-01,-1.3409467311477758
2010-03-02,-1.872965068609107
2010-03-03,-1.1979879155852968
2010-03-04,-1.0953317689272775
2010-03-05,-1.1294267949087542
2010-03-08,-1.0856791958838572
2010-03-09,-0.87795523635632
2010-03-10,-1.1258654570113698
2010-03-11,-1.1089963307414026
2010-03-12,-1.1721545815695245
2010-03-15,-1.0889672527978536
2010-03-16,-0.9747016626258408
2010-03-17,-0.932391560435281
2010-03-18,-0.6250035561872578
2010-03-19,0.10792928163655713
2010-03-22,0.3506736152772442
2010-03-23,-0.1332199332944636
2010-03-24,-0.004711513320076898
2010-03-25,0.5815439760216171
2010-03-26,1.757734760483452
2010-03-28,1.4116203555106035
2010-03-29,0.4204028038554147
2010-03-30,-0.07953778531627757
2010-03-31,-0.5917481765700173
2010-04-01,-0.8837572008777178
2010-04-04,-0.9109663903467093
2010-04-05,-0.9170872750443152
2010-04-06,-0.55507762025638
2010-04-07,-0.38313820321287373
2010-04-08,-0.337758389754845
2010-04-11,-0.8854108019660214
2010-04-12,-1.482585817560404
2010-04-13,-1.2655236338856901
2010-04-14,-1.1217029858276466
2010-04-15,-0.8283431402414562
2010-04-18,-0.5632727051366878
2010-04-19,-0.795220582425749
2010-04-20,-0.8217403746873507
2010-04-21,-0.43242968230227397
2010-04-22,-0.2455218947404615
2010-04-25,-0.8578906379625488
2010-04-26,-0.30197238898953616
2010-04-27,0.3534423143559458
2010-04-28,-1.269471844149161
2010-04-29,-1.9953566480045393
2010-05-02,-1.5907761585128388
2010-05-03,-0.6818122579227177
2010-05-04,1.1809231287020547
2010-05-05,2.914019797178153
2010-05-06,3.1063157536428383
2010-05-09,1.2365714718565974
2010-05-10,0.24291731936216862
2010-05-11,0.31118037740021276
2010-05-12,-0.015354444557952868
2010-05-13,0.5740515828640357
2010-05-16,0.7172805156723949
2010-05-17,0.701786317259886
2010-05-18,1.072036188680589
2010-05-19,1.4417546028755583
2010-05-20,1.302952341773029
2010-05-23,0.88972802783819
2010-05-24,1.095476374168019
2010-05-25,0.6322700973205301
2010-05-26,0.48347633019111236
2010-05-27,-0.08693261145387689
2010-05-30,-0.4170596342660751
2010-05-31,0.2594385493375043
2010-06-01,0.1683904555149078
2010-06-02,-0.31244866731674975
2010-06-03,0.36015918974695604
2010-06-06,0.5858117028799494
2010-06-07,0.7109677072045215
2010-06-08,0.15119532392805163
2010-06-09,-0.2554751807051922
2010-06-10,-1.1079159083969405
2010-06-13,-1.2293413935613655
2010-06-14,-1.2813618185885052
2010-06-15,-1.410490627840391
2010-06-16,-1.3068847982228085
2010-06-17,-1.3016636282371092
2010-06-20,-1.338892139746742
2010-06-21,-1.209620809998968
2010-06-22,-0.5506822535512751
2010-06-23,-0.7099121092293064
2010-06-24,-0.7286232050174175
2010-06-27,-0.762156559782807
2010-06-28,-0.3494031425330564
2010-06-29,-0.20314645834625503
2010-06-30,0.12470117245678095
2010-07-01,-0.6055621897181955
2010-07-04,-0.9334609887595798
2010-07-05,-0.9262771092829527
2010-07-06,-0.7789531262654885
2010-07-07,-1.0559573413241026
2010-07-08,-1.3473763837161945
2010-07-11,-1.2276439251919269
2010-07-12,-1.1864767594248684
2010-07-13,-0.97231523701014
2010-07-14,-0.5500347274548304
2010-07-15,-0.23913969028862858
2010-07-18,0.12010064886193364
2010-07-19,0.2453953437058454
2010-07-20,-0.36600667810878423
2010-07-21,-0.35406392171913764
2010-07-22,-0.9402886135351185
2010-07-25,-0.62859172861442
2010-07-26,-0.7228906972660366
2010-07-27,-0.5088280156089667
2010-07-28,-0.3075406722383511
2010-07-29,-0.9750872722963628
2010-08-01,-1.6370195847681175
2010-08-02,-1.1038621480787396
2010-08-03,-0.8701263714167863
2010-08-04,-1.0483124267093487
2010-08-05,-0.8870268060914136
2010-08-08,-1.6825384520037867
2010-08-09,-0.790213278151839
2010-08-10,-0.2749548378907667
2010-08-11,0.49970803418151527
2010-08-12,0.25109113089401136
2010-08-15,-0.6499651450614963
2010-08-16,-0.6039830248944263
2010-08-17,-0.8417443048340214
2010-08-18,-0.4740136018632943
2010-08-19,0.042356145535669666
2010-08-22,-1.3696029804621221
2010-08-23,1.00910823114578
2010-08-24,0.8305711668933079
2010-08-25,0.46938967666727105
2010-08-26,0.09793194692426063
