Date,boll
2010-01-04,-1.0663962176281416
2010-01-05,-1.053881896829287
2010-01-06,-1.0522596700590654
2010-01-07,-1.0488761685097454
2010-01-08,-1.0487649301026445
2010-01-11,-1.0489225178460375
2010-01-12,-1.0477836484400045
2010-01-13,-1.0454347302900604
2010-01-14,-1.0407959342161641
2010-01-15,-1.0370431829543842
2010-01-18,-1.034111798112713
2010-01-19,-1.0304059579973621
2010-01-20,-1.0256337590260611
2010-01-21,-1.020420986693303
2010-01-22,-1.0142346745650648
2010-01-25,-1.011889398148687
2010-01-26,-1.0057222099902972
2010-01-27,-0.9990042826594963
2010-01-28,-0.9916469353828207
2010-01-29,-0.9846846552120662
2010-02-01,-0.9747149129756453
2010-02-02,-0.9682213709611289
2010-02-03,-0.9599827764352162
2010-02-04,-0.9501451298072277
2010-02-05,-0.9396678623384092
2010-02-08,-0.9298997397148592
2010-02-09,-0.9225510524457535
2010-02-10,-0.9152718891810867
2010-02-11,-0.9091954911931982
2010-02-12,-0.902653282375575
2010-02-15,-0.8965282175845805
2010-02-16,-0.8917797280814596
2010-02-17,-0.8887554338884027
2010-02-18,-0.8874900970076297
2010-02-19,-0.8885538142755326
2010-02-22,-0.8868504761667996
2010-02-23,-0.8878238122289323
2010-02-24,-0.8899790563665126
2010-02-25,-0.8922038245085316
2010-02-26,-0.8968549804054393
2010-03-01,-0.9013323262912517
2010-03-02,-0.9081387263257392
2010-03-03,-0.9124492146009007
2010-03-04,-0.9188384706087604
2010-03-05,-0.9261176338734275
2010-03-08,-0.9321523174586526
2010-03-09,-0.9364628057338134
2010-03-10,-0.9422054885003988
2010-03-11,-0.9479412188665406
2010-03-12,-0.954719809299253
2010-03-15,-0.9609769696986802
2010-03-16,-0.9662816512373059
2010-03-17,-0.9712178555524095
2010-03-18,-0.9745550077654372
2010-03-19,-0.9751459618031608
2010-03-22,-0.9757716778431036
2010-03-23,-0.9784831140161889
2010-03-24,-0.9802420713284724
2010-03-25,-0.9828144594926812
2010-03-26,-0.9816325514172338
2010-03-28,-0.9809025493706338
2010-03-29,-0.9766407278985797
2010-03-30,-0.977162157931865
2010-03-31,-0.9787681624343847
2010-04-01,-0.9796719744920795
2010-04-04,-0.981354455399481
2010-04-05,-0.9833011275237473
2010-04-06,-0.9826754114838044
2010-04-07,-0.9823973154660519
2010-04-08,-0.9817020754216712
2010-04-11,-0.9820636002447494
2010-04-12,-0.9857275152786358
2010-04-13,-0.986839899349645
2010-04-14,-0.9882999034428447
2010-04-15,-0.9909974348150422
2010-04-18,-0.9936880137867959
2010-04-19,-0.9956416383115062
2010-04-20,-0.9987910757125514
2010-04-21,-1.001259177870103
2010-04-22,-1.0054445229372757
2010-04-25,-1.009928821223532
2010-04-26,-1.0119311125513486
2010-04-27,-1.0134884502507615
2010-04-28,-1.015880076003431
2010-04-29,-1.018403797364534
2010-05-02,-1.020454755495457
2010-05-03,-1.020711994311878
2010-05-04,-1.0205173270994514
2010-05-05,-1.016269410428285
2010-05-06,-1.0108117760798958
2010-05-09,-1.0095116771969035
2010-05-10,-1.0052011889217427
2010-05-11,-1.0032892787996959
2010-05-12,-1.001898798710934
2010-05-13,-0.9986798373054507
2010-05-16,-0.9956903051146134
2010-05-17,-0.9912755308327948
2010-05-18,-0.9855954196702035
2010-05-19,-0.9771621579318645
2010-05-20,-0.9713221415590654
2010-05-23,-0.9631044042344843
2010-05-24,-0.9559086697751433
2010-05-25,-0.9486156017095885
2010-05-26,-0.9427060613323519
2010-05-27,-0.9367548065524521
2010-05-30,-0.9309565045823166
2010-05-31,-0.9250678214064106
2010-06-01,-0.921508192379181
2010-06-02,-0.9225301952444204
2010-06-03,-0.923267149691464
2010-06-06,-0.9163773208516501
2010-06-07,-0.9105025424766325
2010-06-08,-0.905740148172624
2010-06-09,-0.9027992827848934
2010-06-10,-0.9021666143445071
2010-06-13,-0.9022778527516084
2010-06-14,-0.9044609064909646
2010-06-15,-0.9074434862813582
2010-06-16,-0.9143541723225029
2010-06-17,-0.9195337106531403
2010-06-20,-0.926388777490735
2010-06-21,-0.933452416341644
2010-06-22,-0.9377559522163612
2010-06-23,-0.9403631023827893
2010-06-24,-0.9427477757350157
2010-06-27,-0.9450003534788091
2010-06-28,-0.946821882395087
2010-06-29,-0.949609794973054
2010-06-30,-0.9510350370640347
2010-07-01,-0.9555123829498468
2010-07-04,-0.9625064977963178
2010-07-05,-0.968972230209059
2010-07-06,-0.974325578550791
2010-07-07,-0.9773846347460668
2010-07-08,-0.9812223597910487
2010-07-11,-0.9841215107761168
2010-07-12,-0.9861098973030457
2010-07-13,-0.9875559965953575
2010-07-14,-0.9886266662637042
2010-07-15,-0.9879105690179919
2010-07-18,-0.9863323741172474
2010-07-19,-0.9858596108870684
2010-07-20,-0.9879244738188794
2010-07-21,-0.9891967631000965
2010-07-22,-0.990552481186639
2010-07-25,-0.9916926748594239
2010-07-26,-0.9949672554684577
2010-07-27,-0.9969556419953864
2010-07-28,-0.9993264105467251
2010-07-29,-1.0004387946177349
2010-08-01,-1.0025592767530966
2010-08-02,-1.003483946012123
2010-08-03,-1.0042695672622732
2010-08-04,-1.0053610941319508
2010-08-05,-1.0055627137448209
2010-08-08,-1.0092127239778197
2010-08-09,-1.0095603440000105
2010-08-10,-1.009977488026639
2010-08-11,-1.0100817740332961
2010-08-12,-1.0112080629051934
2010-08-15,-1.0156784563905614
2010-08-16,-1.0169507456717781
2010-08-17,-1.018591512176517
2010-08-18,-1.0193840858271108
2010-08-19,-1.0193771334266672
2010-08-22,-1.0230480008609975
2010-08-23,-1.023006286458335
2010-08-24,-1.0231036200645482
2010-08-25,-1.0230966676641047
2010-08-26,-1.0232496204738684
2010-08-29,-1.0262878194678124
2010-08-30,-1.0261974382620431
2010-08-31,-1.02644772467802
2010-09-01,-1.0273237271339397
2010-09-02,-1.028297063196073
2010-09-05,-1.030626117344749
2010-09-06,-1.0324406938605828
2010-09-07,-1.0345264139937254
2010-09-08,-1.0379539474125228
2010-09-09,-1.040957384404248
2010-09-12,-1.0447116806439043
2010-09-13,-1.0474161644165458
2010-09-14,-1.0506351258220288
2010-09-15,-1.0525539883445196
2010-09-16,-1.0555504729358007
2010-09-19,-1.0588389583457218
2010-09-20,-1.061258393700167
2010-09-21,-1.0637890674617128
2010-09-22,-1.0700879422638025
2010-09-23,-1.0727715688351127
2010-09-26,-1.0751910041895576
2010-09-27,-1.0783891083937094
2010-09-28,-1.0812465449761144
2010-09-29,-1.0837841711381044
2010-09-30,-1.0868015129307171
2010-10-03,-1.0896172351104596
2010-10-04,-1.0915221928320629
2010-10-05,-1.0957631571027857
2010-10-06,-1.0982104020590064
2010-10-07,-1.1013667918604952
2010-10-10,-1.1043007048477824
2010-10-11,-1.1081384298927648
2010-10-12,-1.1103284360325645
2010-10-13,-1.1151047351374606
