Date,dx
2010-01-04,
2010-01-05,100.0
2010-01-06,100.0
2010-01-07,87.53457495851144
2010-01-08,89.5379706901284
2010-01-11,31.137818188108803
2010-01-12,11.973679902110707
2010-01-13,19.04176173647588
2010-01-14,51.82447929804456
2010-01-15,52.450301867088235
2010-01-18,56.07172714111305
2010-01-19,19.4815559855907
2010-01-20,36.975309398839954
2010-01-21,50.44971589040288
2010-01-22,67.36739758148241
2010-01-25,67.36739758148242
2010-01-26,76.9768701299331
2010-01-27,29.17623263694628
2010-01-28,32.98082359680481
2010-01-29,34.391698441109895
2010-02-01,50.245284080406684
2010-02-02,31.358129014099106
2010-02-03,2.743736619526605
2010-02-04,30.554872130521098
2010-02-05,30.554872130521094
2010-02-08,30.554872130521094
2010-02-09,14.42451226031743
2010-02-10,8.297786598789994
2010-02-11,7.622185963901439
2010-02-12,4.1114846128831415
2010-02-15,4.111484612883134
2010-02-16,5.320078064479724
2010-02-17,19.401532890677167
2010-02-18,32.557860013624875
2010-02-19,38.64039661348899
2010-02-22,55.602929230986966
2010-02-23,36.31555127553893
2010-02-24,31.21243835873175
2010-02-25,9.666347840186303
2010-02-26,9.666347840186315
2010-03-01,35.262145036275165
2010-03-02,46.566040207306244
2010-03-03,46.566040207306266
2010-03-04,48.17248122215581
2010-03-05,49.68001399764536
2010-03-08,57.61611642428331
2010-03-09,34.91733137211461
2010-03-10,46.223985736040504
2010-03-11,51.33732193340058
2010-03-12,54.63027040143417
2010-03-15,55.1192377442898
2010-03-16,54.16070870906534
2010-03-17,54.16070870906534
2010-03-18,4.175959652009029
2010-03-19,21.21996659972386
2010-03-22,33.918892358517446
2010-03-23,14.309372823999261
2010-03-24,3.2428678412541045
2010-03-25,11.512545888032975
2010-03-26,34.22347837256359
2010-03-28,34.2234783725636
2010-03-29,8.4301571696326
2010-03-30,15.02555840549836
2010-03-31,24.636378192896586
2010-04-01,36.23110660392223
2010-04-04,36.23110660392222
2010-04-05,36.23110660392223
2010-04-06,14.605784415447442
2010-04-07,3.8874349577396243
2010-04-08,3.887434957739627
2010-04-11,21.18506766900602
2010-04-12,33.660784740833684
2010-04-13,38.81823246316734
2010-04-14,43.56433719741387
2010-04-15,19.547649693110365
2010-04-18,9.120416431948538
2010-04-19,17.430329924018796
2010-04-20,21.724762783225238
2010-04-21,8.798439681840412
2010-04-22,8.79843968184042
2010-04-25,9.35789595737314
2010-04-26,13.440150889631989
2010-04-27,19.614745228878014
2010-04-28,15.259275624008781
2010-04-29,39.857552547289835
2010-05-02,27.981412401636124
2010-05-03,4.153531897809728
2010-05-04,31.6441144116849
2010-05-05,56.50369584051239
2010-05-06,63.82005370798577
2010-05-09,33.338231621504725
2010-05-10,3.707564418441658
2010-05-11,3.7075644184416583
2010-05-12,11.718441768604455
2010-05-13,15.752881932775908
2010-05-16,17.694541011342626
2010-05-17,17.694541011342622
2010-05-18,37.76985784480576
2010-05-19,51.35483855669782
2010-05-20,53.04025510456769
2010-05-23,24.160891303721396
2010-05-24,41.99915641597975
2010-05-25,23.14429506470522
2010-05-26,26.458205681436077
2010-05-27,5.8361194995540995
2010-05-30,20.16858606938039
2010-05-31,8.384993688743569
2010-06-01,15.2224667930492
2010-06-02,28.695852767533264
2010-06-03,11.87940711931471
2010-06-06,5.067292523461133
2010-06-07,6.61127948433895
2010-06-08,9.053883536075556
2010-06-09,11.106392775773122
2010-06-10,34.42675916816199
2010-06-13,34.42675916816199
2010-06-14,31.920542958524045
2010-06-15,44.12523905504438
2010-06-16,44.12523905504439
2010-06-17,46.30953969984367
2010-06-20,50.97773588764417
2010-06-21,48.469130097148415
2010-06-22,6.763972887721725
2010-06-23,7.499700458991083
2010-06-24,12.480141496316953
2010-06-27,17.406111005122195
2010-06-28,11.191177197502729
2010-06-29,12.432062008469027
2010-06-30,12.43206200846903
2010-07-01,37.74898403217491
2010-07-04,47.65123453929142
2010-07-05,47.226800571246905
2010-07-06,36.51097534626464
2010-07-07,45.253180047417615
2010-07-08,46.51216763429821
2010-07-11,49.8396159536472
2010-07-12,49.839615953647204
2010-07-13,56.347421156357626
2010-07-14,36.38439231343044
2010-07-15,17.839670620212967
2010-07-18,13.849192360135573
2010-07-19,4.161256141211803
2010-07-20,22.14908297935182
2010-07-21,16.692860410404073
2010-07-22,40.28782170605904
2010-07-25,28.426699130144456
2010-07-26,28.42669913014445
2010-07-27,26.4557770134576
2010-07-28,25.468330342477884
2010-07-29,41.118634186378365
2010-08-01,45.587587291493996
2010-08-02,28.435020055913938
2010-08-03,28.435020055913938
2010-08-04,38.54815216396608
2010-08-05,29.63100927532058
2010-08-08,29.63100927532058
2010-08-09,46.063721447154066
2010-08-10,15.571825630379472
2010-08-11,0.17065037853026738
2010-08-12,12.503213274749184
2010-08-15,12.50321327474919
2010-08-16,42.89802023169364
2010-08-17,44.27825382242156
2010-08-18,16.51004472486824
2010-08-19,13.821051911143782
2010-08-22,13.821051911143774
2010-08-23,24.930840824105417
2010-08-24,24.93084082410542
2010-08-25,3.4407093929496058
2010-08-26,0.0868342164981405
2010-08-29,26.547285816021652
2010-08-30,5.9015221713417265
2010-08-31,13.624914932908322
2010-09-01,31.268372107755365
2010-09-02,52.32382528618887
2010-09-05,34.577677774492685
2010-09-06,40.67007420002948
2010-09-07,39.30926442710746
2010-09-08,44.62491547214247
2010-09-09,47.697982036338345
2010-09-12,49.50853595459751
2010-09-13,62.30617945849721
2010-09-14,42.057155359402046
2010-09-15,33.445880062060574
2010-09-16,50.09365995035421
2010-09-19,31.432440921750963
