Date,dma
2010-01-04,-0.17321873968365195
2010-01-05,-0.17321873968365195
2010-01-06,-0.17321873968365195
2010-01-07,-0.17321873968365195
2010-01-08,-0.17321873968365195
2010-01-11,-0.17321873968365195
2010-01-12,-0.17321873968365195
2010-01-13,-0.17321873968365195
2010-01-14,-0.17321873968365195
2010-01-15,-0.17321873968365195
2010-01-18,-0.14492019921282673
2010-01-19,-0.1320636057151856
2010-01-20,-0.10320282188962478
2010-01-21,-0.07345047668577052
2010-01-22,-0.021883227311937817
2010-01-25,0.02154701771500405
2010-01-26,0.08486058627819294
2010-01-27,0.15236590357727003
2010-01-28,0.21451022001752518
2010-01-29,0.2857239758887236
2010-02-01,0.35738707230328925
2010-02-02,0.39895691807416295
2010-02-03,0.43772276792073667
2010-02-04,0.4872439692422352
2010-02-05,0.5203082395090085
2010-02-08,0.5914435869474718
2010-02-09,0.5823212666457066
2010-02-10,0.5611226872041839
2010-02-11,0.5197627171899426
2010-02-12,0.4795349991824996
2010-02-15,0.44770572367722
2010-02-16,0.44857215962107727
2010-02-17,0.4183212156059491
2010-02-18,0.33953441511995414
2010-02-19,0.24467621323296077
2010-02-22,0.16733694688169168
2010-02-23,0.13504782847386457
2010-02-24,0.09279605491370581
2010-02-25,0.06538353257381627
2010-02-26,0.0024421788712998536
2010-03-01,-0.05926896996227105
2010-03-02,-0.17111774426740967
2010-03-03,-0.22050854811336343
2010-03-04,-0.2526130982363941
2010-03-05,-0.2760050071468617
2010-03-08,-0.29882500696396247
2010-03-09,-0.3395706765644229
2010-03-10,-0.3919036334336861
2010-03-11,-0.4648549783202334
2010-03-12,-0.5093907747631292
2010-03-15,-0.5643347068252824
2010-03-16,-0.5303786742775534
2010-03-17,-0.5695024590866707
2010-03-18,-0.598656382221689
2010-03-19,-0.593293620441
2010-03-22,-0.5924404537940774
2010-03-23,-0.6034828678243154
2010-03-24,-0.5842013016037472
2010-03-25,-0.556144307014778
2010-03-26,-0.49486256557544867
2010-03-28,-0.44847467617248293
2010-03-29,-0.41961326731641707
2010-03-30,-0.3948714345555109
2010-03-31,-0.3930675965020086
2010-04-01,-0.41651749119756504
2010-04-04,-0.4578351330987779
2010-04-05,-0.47182706610839575
2010-04-06,-0.47399654701057836
2010-04-07,-0.4825282134798609
2010-04-08,-0.5210669697310816
2010-04-11,-0.5589231926647675
2010-04-12,-0.6282978291549549
2010-04-13,-0.6449955192448316
2010-04-14,-0.6319786338317036
2010-04-15,-0.6118682771541204
2010-04-18,-0.5850057158708547
2010-04-19,-0.5635546687480959
2010-04-20,-0.573890173270878
2010-04-21,-0.5640178163564252
2010-04-22,-0.5506840404744373
2010-04-25,-0.5393734883551653
2010-04-26,-0.45771325214921865
2010-04-27,-0.4247078910080694
2010-04-28,-0.42641422430191994
2010-04-29,-0.4416980953768849
2010-05-02,-0.4586395473658773
2010-05-03,-0.4454032762435411
2010-05-04,-0.3971871725971602
2010-05-05,-0.3106760745986851
2010-05-06,-0.21560893394101455
2010-05-09,-0.17231682065690893
2010-05-10,-0.1700010826152461
2010-05-11,-0.14769686884556196
2010-05-12,-0.09565370338296561
2010-05-13,-0.01167772913535886
2010-05-16,0.07190822607365464
2010-05-17,0.14467115296163835
2010-05-18,0.19044963761679182
2010-05-19,0.22401565112592212
2010-05-20,0.19981009454308402
2010-05-23,0.2816409640784157
2010-05-24,0.3700534048900502
2010-05-25,0.4545169029359046
2010-05-26,0.4996128542735151
2010-05-27,0.5092902016686699
2010-05-30,0.519065053823471
2010-05-31,0.5279867393313469
2010-06-01,0.520381368078731
2010-06-02,0.4356984843236765
2010-06-03,0.4221940751123036
2010-06-06,0.4206096227680041
2010-06-07,0.39411270433341883
2010-06-08,0.3535263481295666
2010-06-09,0.3375843199269771
2010-06-10,0.32293422978972913
2010-06-13,0.29741235895163104
2010-06-14,0.2295002938561812
2010-06-15,0.17324004753877079
2010-06-16,0.12877787713887734
2010-06-17,0.04728827426231848
2010-06-20,-0.08907213210665473
2010-06-21,-0.21556018156118056
2010-06-22,-0.27884077057331014
2010-06-23,-0.3269837456499496
2010-06-24,-0.3712996589103682
2010-06-27,-0.4005998391848586
2010-06-28,-0.3858034919081413
2010-06-29,-0.3912637584484739
2010-06-30,-0.3834390014866526
2010-07-01,-0.38360963481604304
2010-07-04,-0.378831901593248
2010-07-05,-0.37919754444192827
2010-07-06,-0.42487852433743817
2010-07-07,-0.44640270002993043
2010-07-08,-0.48191880873204324
2010-07-11,-0.5158017127100335
2010-07-12,-0.5805692493068081
2010-07-13,-0.6075536915396411
2010-07-14,-0.6271521482290664
2010-07-15,-0.6009721202633383
2010-07-18,-0.5880283634199464
2010-07-19,-0.5794235683809305
2010-07-20,-0.5711112876208642
2010-07-21,-0.5785947779239153
2010-07-22,-0.5633596592287735
2010-07-25,-0.547344502456448
2010-07-26,-0.5281360648056158
2010-07-27,-0.5162161079385369
2010-07-28,-0.49330248942104593
2010-07-29,-0.5011516225727747
2010-08-01,-0.5249671601170196
2010-08-02,-0.5213594840100151
2010-08-03,-0.516289236508273
2010-08-04,-0.5100976842705689
2010-08-05,-0.5038086272732185
2010-08-08,-0.5485633119520562
2010-08-09,-0.5401535264323383
2010-08-10,-0.5256496934345625
2010-08-11,-0.508732617635483
2010-08-12,-0.4814312849337929
2010-08-15,-0.4698525947254868
2010-08-16,-0.4422831239347545
2010-08-17,-0.42651172906154183
2010-08-18,-0.41566432455061
2010-08-19,-0.39457892027653413
2010-08-22,-0.36644879711782624
2010-08-23,-0.34821540706348947
2010-08-24,-0.340805045330177
