Date,trix_9_sma
2010-01-04,
2010-01-05,0.8823289201411626
2010-01-06,0.678840212021866
2010-01-07,0.5749395909591974
2010-01-08,0.492996222835104
2010-01-11,0.42418560743840705
2010-01-12,0.370282910530132
2010-01-13,0.33183937490516
2010-01-14,0.3112058385291761
2010-01-15,0.30373108425985545
2010-01-18,0.24012984459182313
2010-01-19,0.2298754219373511
2010-01-20,0.24223434533713303
2010-01-21,0.280577068843963
2010-01-22,0.34542846087925433
2010-01-25,0.42426031917166085
2010-01-26,0.515794939100754
2010-01-27,0.6162346112255986
2010-01-28,0.727446946982963
2010-01-29,0.8510773997284289
2010-02-01,0.9825819502785447
2010-02-02,1.1101903073608934
2010-02-03,1.2282859414421161
2010-02-04,1.3355759764376869
2010-02-05,1.439143429184385
2010-02-08,1.5319990212081698
2010-02-09,1.6036645131192868
2010-02-10,1.6475018173970308
2010-02-11,1.6609630973588398
2010-02-12,1.647535778026272
2010-02-15,1.6153444589333015
2010-02-16,1.566076383944004
2010-02-17,1.4959043996295363
2010-02-18,1.4018958159790345
2010-02-19,1.283759934522218
2010-02-22,1.1483584766336794
2010-02-23,1.0019097024364698
2010-02-24,0.8491006170923755
2010-02-25,0.6951790512734326
2010-02-26,0.5406645684861136
2010-03-01,0.38661729607630163
2010-03-02,0.22612965198185409
2010-03-03,0.06602404201581401
2010-03-04,-0.08673602853702125
2010-03-05,-0.2300706505906843
2010-03-08,-0.36354656579367883
2010-03-09,-0.48744202918931157
2010-03-10,-0.6064883298431738
2010-03-11,-0.7189540811051073
2010-03-12,-0.8238223587056606
2010-03-15,-0.9110916266827864
2010-03-16,-0.9828238256512793
2010-03-17,-1.0416723853631218
2010-03-18,-1.0870197619924336
2010-03-19,-1.1166353978918986
2010-03-22,-1.1289144185995168
2010-03-23,-1.124731614773983
2010-03-24,-1.1039483699588375
2010-03-25,-1.0655978836096816
2010-03-26,-1.0068639418514573
2010-03-28,-0.9303565108594183
2010-03-29,-0.8406096980929507
2010-03-30,-0.7448037602328342
2010-03-31,-0.6537526321849315
2010-04-01,-0.5747013491706197
2010-04-04,-0.5095496937467617
2010-04-05,-0.46176986626604893
2010-04-06,-0.4298479128958726
2010-04-07,-0.41609364081284084
2010-04-08,-0.41897514392394786
2010-04-11,-0.4365160941377061
2010-04-12,-0.47086582124368065
2010-04-13,-0.5151277250110934
2010-04-14,-0.5636869824224211
2010-04-15,-0.611115758179224
2010-04-18,-0.6523121385570102
2010-04-19,-0.6891142240609512
2010-04-20,-0.7228607321112611
2010-04-21,-0.7518414061077602
2010-04-22,-0.773134209126835
2010-04-25,-0.7818688739140603
2010-04-26,-0.7775212427811506
2010-04-27,-0.7622285062786562
2010-04-28,-0.7429875153549654
2010-04-29,-0.7253160849226357
2010-05-02,-0.7110326168581667
2010-05-03,-0.6976794279873223
2010-05-04,-0.6814942518614105
2010-05-05,-0.6522040888516623
2010-05-06,-0.5994105024819728
2010-05-09,-0.5327885611959888
2010-05-10,-0.4582238681080142
2010-05-11,-0.3763275333480076
2010-05-12,-0.2884090686941317
2010-05-13,-0.19144401477195552
2010-05-16,-0.08714475192356225
2010-05-17,0.01993054950928094
2010-05-18,0.1203485627060574
2010-05-19,0.214315069241909
2010-05-20,0.3074775042235109
2010-05-23,0.40514523199317015
2010-05-24,0.5110863601833158
2010-05-25,0.6263335159884553
2010-05-26,0.7386631837420709
2010-05-27,0.840108772081816
2010-05-30,0.9243222398187902
2010-05-31,0.9891194665081007
2010-06-01,1.0255506463871489
2010-06-02,1.0338844329393728
2010-06-03,1.0166501043270193
2010-06-06,0.9812957935643488
2010-06-07,0.9324114092465893
2010-06-08,0.8781659282979986
2010-06-09,0.8199629153568329
2010-06-10,0.7589959073774583
2010-06-13,0.6920681168698476
2010-06-14,0.6158463196813748
2010-06-15,0.5312061070806013
2010-06-16,0.4364624606449186
2010-06-17,0.32457233003584335
2010-06-20,0.19357003487935
2010-06-21,0.04705258800080258
2010-06-22,-0.10203604222429848
2010-06-23,-0.2483435936122883
2010-06-24,-0.3866449008117793
2010-06-27,-0.5110364376307523
2010-06-28,-0.6149616066242508
2010-06-29,-0.6976190550753991
2010-06-30,-0.7565134342389396
2010-07-01,-0.7937154919242042
2010-07-04,-0.812355500252667
2010-07-05,-0.8213162987166732
2010-07-06,-0.8235872099434359
2010-07-07,-0.8211308434886168
2010-07-08,-0.8174765906628558
2010-07-11,-0.8180788215383366
2010-07-12,-0.824115965576444
2010-07-13,-0.8356392146436893
2010-07-14,-0.848151266820394
2010-07-15,-0.8567957484360038
2010-07-18,-0.8573518958857325
2010-07-19,-0.8493251427183872
2010-07-20,-0.8338056196530645
2010-07-21,-0.8118951230840287
2010-07-22,-0.785225272992326
2010-07-25,-0.7538402805197573
2010-07-26,-0.7203672947330412
2010-07-27,-0.6870048637234522
2010-07-28,-0.6566858507693193
2010-07-29,-0.6325906831472212
2010-08-01,-0.6168032694665142
2010-08-02,-0.608178967082909
2010-08-03,-0.6039472277147948
2010-08-04,-0.6023702825310099
2010-08-05,-0.6028507575302766
2010-08-08,-0.6110125409173709
2010-08-09,-0.6235201169278259
2010-08-10,-0.6370582998391792
2010-08-11,-0.647297762045072
2010-08-12,-0.6497792903757986
2010-08-15,-0.6505077196177602
2010-08-16,-0.6482483383988787
2010-08-17,-0.6434206327895179
2010-08-18,-0.6364430285704276
2010-08-19,-0.6191212219820543
2010-08-22,-0.6008257817024729
2010-08-23,-0.5814474041965638
2010-08-24,-0.5623870606933583
2010-08-25,-0.5436333843380089
