Date,mdm_14
2010-01-04,-1.3195639833333714
2010-01-05,-1.2268237656387342
2010-01-06,-1.2622508437054463
2010-01-07,-1.279784549855215
2010-01-08,-1.2901629431835924
2010-01-11,-0.5399123047320801
2010-01-12,-0.7042014439703947
2010-01-13,-0.8245572953532698
2010-01-14,-0.9156995332067855
2010-01-15,-0.9864661368670274
2010-01-18,-1.0424860652083958
2010-01-19,-0.7639755379329886
2010-01-20,-0.8517071639609826
2010-01-21,-0.9238133463684999
2010-01-22,-0.9835644720141342
2010-01-25,-1.0334144936626128
2010-01-26,-1.075239959322754
2010-01-27,-0.438456450523121
2010-01-28,-0.5642318655002653
2010-01-29,-0.6710476997466965
2010-02-01,-0.7620228002180226
2010-02-02,-0.562346710989954
2010-02-03,-0.0007345137015848156
2010-02-04,-0.18243728502666923
2010-02-05,-0.3384128987687284
2010-02-08,-0.4724800012032101
2010-02-09,-0.2907773222274242
2010-02-10,0.08437150045081128
2010-02-11,-0.10581835597322095
2010-02-12,-0.26989294373532585
2010-02-15,-0.4115262648774349
2010-02-16,-0.370603913521067
2010-02-17,-0.2257843183156538
2010-02-18,-0.06337897213760216
2010-02-19,-0.06933603627933219
2010-02-22,0.3596584138893775
2010-02-23,0.13463292469232999
2010-02-24,-0.06010690064220616
2010-02-25,-0.22866983340612665
2010-02-26,-0.3745990657388767
2010-03-01,0.08931017504242494
2010-03-02,0.28278814815878994
2010-03-03,0.0686859355412514
2010-03-04,-0.06588162125024241
2010-03-05,-0.18938069689013057
2010-03-08,-0.09527223436612509
2010-03-09,-0.2587071961924146
2010-03-10,-0.1137871763492077
2010-03-11,-0.12453403752903304
2010-03-12,-0.1846656795640346
2010-03-15,-0.32222934987909807
2010-03-16,-0.45528534568533413
2010-03-17,-0.5705811077178986
2010-03-18,-0.6704895075859176
2010-03-19,-0.7570658280809713
2010-03-22,-0.8320904089177177
2010-03-23,-0.6777635330557809
2010-03-24,-0.5278631687142247
2010-03-25,-0.6334460213325539
2010-03-26,-0.7249454984819323
2010-03-28,-0.8042407930829683
2010-03-29,-0.24042442304078132
2010-03-30,-0.250435257882136
2010-03-31,-0.18754924443918977
2010-04-01,-0.05225527228509969
2010-04-04,-0.2212431359298292
2010-04-05,-0.3676959568384703
2010-04-06,-0.4946192356540215
2010-04-07,-0.6046175334233789
2010-04-08,-0.6999479815350267
2010-04-11,-0.4270899440422267
2010-04-12,-0.3060295229643713
2010-04-13,-0.33037451158857795
2010-04-14,-0.35839810296923685
2010-04-15,-0.4865563504338557
2010-04-18,-0.5976261354768427
2010-04-19,-0.5784741525800832
2010-04-20,-0.61727345586885
2010-04-21,-0.7109133457232965
2010-04-22,-0.7920676299935824
2010-04-25,-0.6615857857731906
2010-04-26,-0.7493169152279356
2010-04-27,-0.825350385757056
2010-04-28,-0.452685103752921
2010-04-29,-0.03507235070992518
2010-05-02,-0.2063386761025894
2010-05-03,-0.35476929870850993
2010-05-04,-0.48340902686896414
2010-05-05,-0.5948966825405053
2010-05-06,-0.6915192357844975
2010-05-09,-0.08741330975531589
2010-05-10,0.980881300579953
2010-05-11,0.6741547533986183
2010-05-12,0.7106999686530244
2010-05-13,0.43999777075847324
2010-05-16,0.20538928328223346
2010-05-17,0.0020619905871085377
2010-05-18,-0.17415494900701098
2010-05-19,-0.3268762610463439
2010-05-20,-0.45923470473419753
2010-05-23,0.16467936613167514
2010-05-24,-0.03321983777819158
2010-05-25,0.3838590233539572
2010-05-26,0.15673587765462363
2010-05-27,1.1532360967402213
2010-05-30,1.550612828812207
2010-05-31,1.1679225014847763
2010-06-01,1.1570975700901844
2010-06-02,1.5308773894997298
2010-06-03,1.15081848437954
2010-06-06,0.821434113732756
2010-06-07,0.5359676695305668
2010-06-08,0.8817711322164848
2010-06-09,0.66904680006049
2010-06-10,1.5072188208006345
2010-06-13,1.1303144236312197
2010-06-14,0.8036639518797418
2010-06-15,1.1299319660568037
2010-06-16,0.8033324930035827
2010-06-17,0.6241486670647453
2010-06-20,0.5842660716449486
2010-06-21,0.33042205766908794
2010-06-22,0.11042391387731286
2010-06-23,-0.06177553468028023
2010-06-24,-0.11407061337187854
2010-06-27,-0.16400941669844188
2010-06-28,-0.31808336088860556
2010-06-29,-0.45161411202922874
2010-06-30,-0.5673407626490846
2010-07-01,0.5326273234331538
2010-07-04,0.7265348699143291
2010-07-05,0.4537216877738775
2010-07-06,0.21728359701044495
2010-07-07,0.32397771825351057
2010-07-08,0.15100284347854356
2010-07-11,0.07033731497213656
2010-07-12,-0.11498285870236412
2010-07-13,-0.06785558755883295
2010-07-14,-0.23475004071237515
2010-07-15,-0.3793919000166371
2010-07-18,-0.5047481780086186
2010-07-19,-0.6133902855478054
2010-07-20,-0.2759131960601113
2010-07-21,-0.41506663451959774
2010-07-22,-0.004780056669796219
2010-07-25,-0.18008458037291805
2010-07-26,-0.33201516754546023
2010-07-27,-0.4636883430673331
2010-07-28,-0.5778050951655112
2010-07-29,-0.4043385652714023
2010-08-01,-0.43404058207591917
2010-08-02,-0.5521103689524796
2010-08-03,-0.6544375175683205
2010-08-04,-0.5953961840021915
2010-08-05,-0.691951890602165
2010-08-08,-0.775633502983213
2010-08-09,-0.6265702735254183
2010-08-10,-0.7189694348471507
2010-08-11,-0.7990487079891665
2010-08-12,-0.7414996911398342
2010-08-15,-0.8185749301065777
2010-08-16,-0.4745136971828403
2010-08-17,-0.5617968579649814
2010-08-18,-0.6628324746872561
2010-08-19,-0.7503966758449461
2010-08-22,-0.8262856501803972
2010-08-23,-0.8920560946035438
