Date,cci_20
2010-01-04,
2010-01-05,66.6666666666632
2010-01-06,60.36363636362641
2010-01-07,133.33333333332857
2010-01-08,106.53303637713326
2010-01-11,-54.34243176178858
2010-01-12,72.57656645124737
2010-01-13,122.55257432922232
2010-01-14,207.11843332296922
2010-01-15,150.4054233683332
2010-01-18,137.01355159800696
2010-01-19,117.6975139047107
2010-01-20,141.13029192058914
2010-01-21,157.45352340800466
2010-01-22,178.99629978382157
2010-01-25,128.96667244267223
2010-01-26,197.35058584816915
2010-01-27,170.23936933879668
2010-01-28,166.31988843083647
2010-01-29,152.86550096403175
2010-02-01,135.55599971300626
2010-02-02,82.34557375564928
2010-02-03,67.88036774355037
2010-02-04,100.22141329230337
2010-02-05,102.7811785073887
2010-02-08,91.43692405465552
2010-02-09,58.11556511879745
2010-02-10,37.737581217387806
2010-02-11,35.21248972669027
2010-02-12,45.29927001837251
2010-02-15,33.43126780626931
2010-02-16,7.744509635808552
2010-02-17,-31.439637139364013
2010-02-18,-117.04111263946024
2010-02-19,-164.3852396263951
2010-02-22,-221.77367240658236
2010-02-23,-143.1996131408648
2010-02-24,-103.68706719071464
2010-02-25,-60.69735826872788
2010-02-26,-95.00937906973897
2010-03-01,-135.69723832253655
2010-03-02,-194.08169798789325
2010-03-03,-120.00873171796604
2010-03-04,-108.74309812616961
2010-03-05,-112.48473545149865
2010-03-08,-107.68381083879966
2010-03-09,-84.88788392689096
2010-03-10,-112.09390909424049
2010-03-11,-110.24266684759465
2010-03-12,-117.17374438451688
2010-03-15,-108.04464694679672
2010-03-16,-95.50497627986046
2010-03-17,-90.86180464301552
2010-03-18,-57.12860172134437
2010-03-19,23.304504986091615
2010-03-22,49.94361826189798
2010-03-23,-3.159557661929316
2010-03-24,10.943141689479097
2010-03-25,75.27966462662673
2010-03-26,204.3565376943102
2010-03-28,166.37344370329723
2010-03-29,57.59579998455551
2010-03-30,2.7315986811730775
2010-03-31,-53.479108399020625
2010-04-01,-85.52459988144959
2010-04-04,-88.51057557668555
2010-04-05,-89.1822902913492
2010-04-06,-49.454828660438565
2010-04-07,-30.585949051582663
2010-04-08,-25.605902872903226
2010-04-11,-85.70606844981387
2010-04-12,-151.240915946801
2010-04-13,-127.42019884877111
2010-04-14,-111.637113503145
2010-04-15,-79.44338094536997
2010-04-18,-50.35416909470185
2010-04-19,-75.80846367911096
2010-04-20,-78.71878393051331
2010-04-21,-35.99526705831402
2010-04-22,-15.483736880396327
2010-04-25,-82.68596596065572
2010-04-26,-21.678695535959775
2010-04-27,50.247459291997274
2010-04-28,-127.85348113745671
2010-04-29,-207.5131264320515
2010-05-02,-163.11388000225094
2010-05-03,-63.36287058309447
2010-05-04,141.05639730639115
2010-05-05,331.24892529263053
2010-05-06,352.35176089712627
2010-05-09,147.1633267439248
2010-05-10,38.11828693485657
2010-05-11,45.60957337748933
2010-05-12,9.775171065488907
2010-05-13,74.45743859548432
2010-05-16,90.17558825619885
2010-05-17,88.47523257564319
2010-05-18,129.10698746442407
2010-05-19,169.6804194707499
2010-05-20,154.4480591474745
2010-05-23,109.10022695658344
2010-05-24,131.67934722681443
2010-05-25,80.84642233856674
2010-05-26,64.51757973348383
2010-05-27,1.9200797955211835
2010-05-30,-34.30853581911258
2010-05-31,39.93135054037032
2010-06-01,29.939601408641625
2010-06-02,-22.828377429175926
2010-06-03,50.98457888493268
2010-06-06,75.74801112726058
2010-06-07,89.48281155018077
2010-06-08,28.052582868333747
2010-06-09,-16.57602483745912
2010-06-10,-110.12409974125616
2010-06-13,-123.44950761113812
2010-06-14,-129.15830408094493
2010-06-15,-143.32908584643292
2010-06-16,-131.95923267695787
2010-06-17,-131.38625395240746
2010-06-20,-135.47176449891828
2010-06-21,-121.28534232865896
2010-06-22,-48.972474778929175
2010-06-23,-66.4465887929603
2010-06-24,-68.49997143113863
2010-06-27,-72.17997014713455
2010-06-28,-26.883814837623706
2010-06-29,-10.833395373813842
2010-06-30,25.14507647424318
2010-07-01,-54.99507812539334
2010-07-04,-90.97916524972496
2010-07-05,-90.19079595488951
2010-07-06,-74.0232495780731
2010-07-07,-104.42209165257006
2010-07-08,-136.40283766866884
2010-07-11,-123.26322498407377
2010-07-12,-118.74548083876303
2010-07-13,-95.24308649093118
2010-07-14,-48.90141433119999
2010-07-15,-14.783344559011008
2010-07-18,24.640208379762495
2010-07-19,38.39022890030374
2010-07-20,-28.705910778431118
2010-07-21,-27.395295467591037
2010-07-22,-91.72843863984866
2010-07-25,-57.522372938602885
2010-07-26,-67.87087776269685
2010-07-27,-44.37933034216517
2010-07-28,-22.28976697063442
2010-07-29,-95.54729364125555
2010-08-01,-168.18870029486058
2010-08-02,-109.67923423733313
2010-08-03,-84.02873299711507
2010-08-04,-103.58312769674095
2010-08-05,-85.8834110732434
2010-08-08,-173.18400643565093
2010-08-09,-75.25895488622369
2010-08-10,-18.71375051186562
2010-08-11,66.29887033983735
2010-08-12,39.01529280117746
2010-08-15,-59.86792248567256
2010-08-16,-54.82177830005602
2010-08-17,-80.91404407581196
2010-08-18,-40.558746366044254
2010-08-19,16.108414456427358
2010-08-22,-138.84201645224803
2010-08-23,122.20118264565433
2010-08-24,102.60826771651942
2010-08-25,62.971690059065715
2010-08-26,22.20738305594091
2010-08-29,-200.94767491785137
